R, t,algo
0.000158,0.136464,'p35p'
0.000233,0.154348,'p35p'
0.000286,0.179946,'p35p'
0.000348,0.229944,'p35p'
0.000377,0.513839,'p35p'
0.000401,0.637580,'p35p'
0.000974,0.575002,'p35p'
0.001084,0.302327,'p35p'
0.001183,0.360755,'p35p'
0.000382,0.317862,'p35p'
0.001210,0.610242,'p35p'
0.000683,0.883344,'p35p'
0.001103,1.088973,'p35p'
0.001764,1.315210,'p35p'
0.001788,1.514983,'p35p'
0.001956,1.458729,'p35p'
0.001967,1.422445,'p35p'
0.001918,1.335025,'p35p'
0.001834,1.274171,'p35p'
0.003780,1.285776,'p35p'
0.003081,1.229301,'p35p'
0.002605,1.235003,'p35p'
0.000576,1.288582,'p35p'
0.000212,1.516839,'p35p'
0.000442,1.104328,'p35p'
0.000532,0.660652,'p35p'
0.000503,0.650139,'p35p'
0.001117,0.335182,'p35p'
0.000926,0.236910,'p35p'
0.001144,0.225225,'p35p'
0.000434,0.558210,'p35p'
0.000669,0.501415,'p35p'
0.001211,0.839637,'p35p'
0.000737,0.680239,'p35p'
0.000942,0.543805,'p35p'
0.001053,0.445570,'p35p'
0.000837,0.545611,'p35p'
0.000079,0.189159,'p35p'
0.000137,0.242592,'p35p'
0.000194,0.300031,'p35p'
0.000223,0.703483,'p35p'
0.000246,0.842123,'p35p'
0.000858,0.715580,'p35p'
0.000969,0.351420,'p35p'
0.001071,0.418235,'p35p'
0.000288,0.348372,'p35p'
0.001088,0.664109,'p35p'
0.000668,0.946969,'p35p'
0.001076,1.152910,'p35p'
0.001681,1.373704,'p35p'
0.001713,1.564219,'p35p'
0.001842,1.514034,'p35p'
0.001852,1.475090,'p35p'
0.001798,1.385738,'p35p'
0.001706,1.322263,'p35p'
0.003645,1.315778,'p35p'
0.002948,1.246906,'p35p'
0.002758,1.219323,'p35p'
0.000484,1.211403,'p35p'
0.000266,1.064985,'p35p'
0.000493,1.034533,'p35p'
0.000406,0.705226,'p35p'
0.000369,0.705031,'p35p'
0.001016,0.366207,'p35p'
0.000880,0.262354,'p35p'
0.001030,0.244659,'p35p'
0.000285,0.594236,'p35p'
0.000512,0.550004,'p35p'
0.001130,0.914941,'p35p'
0.000779,0.726686,'p35p'
0.000979,0.577191,'p35p'
0.001089,0.471720,'p35p'
0.000729,0.562887,'p35p'
0.000059,0.584271,'p35p'
0.000116,0.481149,'p35p'
0.000145,1.041317,'p35p'
0.000170,1.161851,'p35p'
0.000831,0.913983,'p35p'
0.000943,0.421963,'p35p'
0.001046,0.495311,'p35p'
0.000237,0.368788,'p35p'
0.001015,0.708623,'p35p'
0.000650,1.001512,'p35p'
0.001048,1.208472,'p35p'
0.001620,1.425243,'p35p'
0.001655,1.608501,'p35p'
0.001771,1.562585,'p35p'
0.001780,1.521903,'p35p'
0.001725,1.431360,'p35p'
0.001631,1.366059,'p35p'
0.003569,1.344800,'p35p'
0.002875,1.266148,'p35p'
0.002834,1.213219,'p35p'
0.000471,1.163475,'p35p'
0.000299,0.863478,'p35p'
