f,algo
0.000638,'p35p'
0.000804,'p35p'
0.000855,'p35p'
0.000573,'p35p'
0.000480,'p35p'
0.000705,'p35p'
0.000858,'p35p'
0.002309,'p35p'
0.003151,'p35p'
0.002811,'p35p'
0.000531,'p35p'
0.004256,'p35p'
0.003249,'p35p'
0.001700,'p35p'
0.001602,'p35p'
0.002040,'p35p'
0.001373,'p35p'
0.001101,'p35p'
0.000733,'p35p'
0.000499,'p35p'
0.003261,'p35p'
0.003678,'p35p'
0.005033,'p35p'
0.001967,'p35p'
0.001038,'p35p'
0.001990,'p35p'
0.000707,'p35p'
0.000733,'p35p'
0.000881,'p35p'
0.000738,'p35p'
0.001338,'p35p'
0.000955,'p35p'
0.001193,'p35p'
0.001786,'p35p'
0.001402,'p35p'
0.001540,'p35p'
0.002016,'p35p'
0.001297,'p35p'
0.000650,'p4p'
0.000890,'p4p'
0.000934,'p4p'
0.000647,'p4p'
0.000620,'p4p'
0.000722,'p4p'
0.000871,'p4p'
0.002419,'p4p'
0.003223,'p4p'
0.002869,'p4p'
0.000512,'p4p'
0.004212,'p4p'
0.002811,'p4p'
0.001702,'p4p'
0.001597,'p4p'
0.002014,'p4p'
0.001348,'p4p'
0.001066,'p4p'
0.000680,'p4p'
0.000532,'p4p'
0.003112,'p4p'
0.003652,'p4p'
0.004440,'p4p'
0.001985,'p4p'
0.001051,'p4p'
0.002024,'p4p'
0.000723,'p4p'
0.000751,'p4p'
0.000864,'p4p'
0.000744,'p4p'
0.001332,'p4p'
0.000934,'p4p'
0.001185,'p4p'
0.001747,'p4p'
0.001377,'p4p'
0.001525,'p4p'
0.001949,'p4p'
0.001349,'p4p'
0.000656,'orig'
0.000886,'orig'
0.000944,'orig'
0.000660,'orig'
0.000606,'orig'
0.000724,'orig'
0.000880,'orig'
0.002410,'orig'
0.003226,'orig'
0.002878,'orig'
0.000511,'orig'
0.004229,'orig'
0.002775,'orig'
0.001699,'orig'
0.001587,'orig'
0.002018,'orig'
0.001354,'orig'
0.001063,'orig'
0.000667,'orig'
0.000506,'orig'
0.003091,'orig'
0.003679,'orig'
0.004461,'orig'
0.001988,'orig'
0.001053,'orig'
0.002025,'orig'
0.000719,'orig'
0.000748,'orig'
0.000873,'orig'
0.000744,'orig'
0.001323,'orig'
0.000927,'orig'
0.001134,'orig'
0.001779,'orig'
0.001371,'orig'
0.001515,'orig'
0.002013,'orig'
0.001331,'orig'
