R, t,algo
0.000170,0.071177,'p35p'
0.000236,0.037366,'p35p'
0.000282,0.212583,'p35p'
0.000334,0.287575,'p35p'
0.000355,0.626679,'p35p'
0.000381,0.756334,'p35p'
0.000956,0.692537,'p35p'
0.001039,0.392729,'p35p'
0.001102,0.461943,'p35p'
0.000450,-0.149873,'p35p'
0.001319,-0.503984,'p35p'
0.000811,-0.809022,'p35p'
0.000821,-0.930658,'p35p'
0.002134,-0.674830,'p35p'
0.002497,-0.421335,'p35p'
0.002630,-0.476912,'p35p'
0.002837,-0.456951,'p35p'
0.002936,-0.469310,'p35p'
0.003014,-0.436257,'p35p'
0.004789,-0.326365,'p35p'
0.213536,6.035985,'p35p'
0.001222,-0.239552,'p35p'
0.000592,-0.102989,'p35p'
0.000196,-0.043787,'p35p'
0.000417,0.758255,'p35p'
0.000577,0.525414,'p35p'
0.000538,0.539294,'p35p'
0.001267,0.038062,'p35p'
0.001062,0.109709,'p35p'
0.001200,0.029055,'p35p'
0.000460,0.623652,'p35p'
0.000650,0.324439,'p35p'
0.001291,0.089699,'p35p'
0.000713,-0.048825,'p35p'
0.000922,-0.038424,'p35p'
0.000875,0.010614,'p35p'
0.000928,0.520052,'p35p'
0.000075,-0.002390,'p35p'
0.000126,0.312048,'p35p'
0.000172,0.383971,'p35p'
0.000198,0.822150,'p35p'
0.000221,0.955468,'p35p'
0.000816,0.832131,'p35p'
0.000900,0.450758,'p35p'
0.000963,0.525149,'p35p'
0.000389,-0.167300,'p35p'
0.001208,-0.535233,'p35p'
0.000802,-0.813315,'p35p'
0.000918,-0.845707,'p35p'
0.002067,-0.632543,'p35p'
0.002436,-0.411001,'p35p'
0.002541,-0.459681,'p35p'
0.002743,-0.461058,'p35p'
0.002836,-0.490872,'p35p'
0.002909,-0.470735,'p35p'
0.004668,-0.388600,'p35p'
0.213624,6.080001,'p35p'
0.001349,-0.360897,'p35p'
0.000482,-0.299710,'p35p'
0.000282,-0.215661,'p35p'
0.000462,0.640724,'p35p'
0.000471,0.544134,'p35p'
0.000422,0.564485,'p35p'
0.001178,0.035635,'p35p'
0.001023,0.119194,'p35p'
0.001091,0.029322,'p35p'
0.000320,0.653473,'p35p'
0.000485,0.387367,'p35p'
0.001221,0.154843,'p35p'
0.000760,-0.037210,'p35p'
0.000964,-0.035735,'p35p'
0.000912,0.013099,'p35p'
0.000839,0.536481,'p35p'
0.000051,0.702973,'p35p'
0.000099,0.593435,'p35p'
0.000124,1.140677,'p35p'
0.000151,1.246855,'p35p'
0.000794,1.022234,'p35p'
0.000878,0.529147,'p35p'
0.000941,0.606554,'p35p'
0.000344,-0.179359,'p35p'
0.001138,-0.558922,'p35p'
0.000780,-0.795077,'p35p'
0.000935,-0.770598,'p35p'
0.002012,-0.577941,'p35p'
0.002382,-0.380963,'p35p'
0.002482,-0.425161,'p35p'
0.002683,-0.443895,'p35p'
0.002775,-0.489538,'p35p'
0.002846,-0.482968,'p35p'
0.004599,-0.426722,'p35p'
0.213675,6.128654,'p35p'
0.001411,-0.445950,'p35p'
0.000471,-0.425043,'p35p'
0.000313,-0.211626,'p35p'
0.000524,0.563217,'p35p'
0.000405,0.563033,'p35p'
0.000354,0.592183,'p35p'
