R, t,algo
0.000167,0.113240,'p35p'
0.000239,0.077919,'p35p'
0.000285,0.263819,'p35p'
0.000335,0.343399,'p35p'
0.000359,0.701416,'p35p'
0.000385,0.838149,'p35p'
0.000959,0.770677,'p35p'
0.001078,0.454389,'p35p'
0.001144,0.527335,'p35p'
0.000394,-0.117429,'p35p'
0.001234,-0.489907,'p35p'
0.000959,-0.801752,'p35p'
0.000726,-0.889244,'p35p'
0.002190,-0.634813,'p35p'
0.002359,-0.371911,'p35p'
0.002535,-0.431197,'p35p'
0.002759,-0.419741,'p35p'
0.002820,-0.444456,'p35p'
0.002844,-0.419842,'p35p'
0.003828,-0.315058,'p35p'
0.006095,-0.265996,'p35p'
0.012002,-0.255503,'p35p'
0.000599,-0.074133,'p35p'
0.000205,0.004890,'p35p'
0.000539,0.862272,'p35p'
0.000555,0.595896,'p35p'
0.000531,0.610645,'p35p'
0.001172,0.071679,'p35p'
0.000920,0.146325,'p35p'
0.001092,0.059901,'p35p'
0.000493,0.699485,'p35p'
0.000688,0.372986,'p35p'
0.001241,0.120264,'p35p'
0.000690,-0.028069,'p35p'
0.000933,-0.016555,'p35p'
0.001076,0.035513,'p35p'
0.000860,0.586337,'p35p'
0.000077,0.036602,'p35p'
0.000130,0.369067,'p35p'
0.000175,0.445232,'p35p'
0.000204,0.907320,'p35p'
0.000228,1.047996,'p35p'
0.000831,0.917856,'p35p'
0.000953,0.515571,'p35p'
0.001020,0.593966,'p35p'
0.000285,-0.134846,'p35p'
0.001105,-0.518768,'p35p'
0.000917,-0.788578,'p35p'
0.000756,-0.794198,'p35p'
0.002092,-0.579261,'p35p'
0.002273,-0.351021,'p35p'
0.002422,-0.403124,'p35p'
0.002643,-0.413955,'p35p'
0.002701,-0.457661,'p35p'
0.002719,-0.448422,'p35p'
0.003691,-0.374444,'p35p'
0.005958,-0.346234,'p35p'
0.012150,-0.379486,'p35p'
0.000490,-0.281352,'p35p'
0.000277,-0.182775,'p35p'
0.000555,0.738218,'p35p'
0.000410,0.617075,'p35p'
0.000380,0.638591,'p35p'
0.001063,0.068911,'p35p'
0.000865,0.156099,'p35p'
0.000971,0.059823,'p35p'
0.000334,0.732170,'p35p'
0.000525,0.440280,'p35p'
0.001151,0.190163,'p35p'
0.000700,-0.015636,'p35p'
0.000951,-0.013905,'p35p'
0.001099,0.037788,'p35p'
0.000740,0.604465,'p35p'
0.000054,0.781665,'p35p'
0.000098,0.666165,'p35p'
0.000128,1.243264,'p35p'
0.000154,1.355615,'p35p'
0.000807,1.118623,'p35p'
0.000930,0.598221,'p35p'
0.000998,0.679843,'p35p'
0.000226,-0.146905,'p35p'
0.001031,-0.539983,'p35p'
0.000887,-0.757660,'p35p'
0.000748,-0.713637,'p35p'
0.002026,-0.515966,'p35p'
0.002211,-0.312568,'p35p'
0.002353,-0.360099,'p35p'
0.002574,-0.388242,'p35p'
0.002632,-0.448164,'p35p'
0.002649,-0.453958,'p35p'
0.003618,-0.408083,'p35p'
0.005884,-0.399912,'p35p'
0.012227,-0.464651,'p35p'
0.000471,-0.412977,'p35p'
0.000312,-0.181051,'p35p'
0.000606,0.656181,'p35p'
0.000334,0.638412,'p35p'
0.000303,0.669245,'p35p'
0.000995,0.075958,'p35p'
0.000820,0.173908,'p35p'
0.000902,0.066579,'p35p'
0.000268,0.758277,'p35p'
0.000467,0.505203,'p35p'
0.001091,0.268985,'p35p'
0.000701,0.006596,'p35p'
0.000954,-0.003138,'p35p'
0.001105,0.046786,'p35p'
0.000669,0.619424,'p35p'
0.000052,0.576595,'p35p'
0.000077,1.445407,'p35p'
0.000109,1.542865,'p35p'
0.000810,1.198017,'p35p'
0.000932,0.568399,'p35p'
0.001000,0.665489,'p35p'
0.000182,-0.213356,'p35p'
0.000977,-0.578790,'p35p'
0.000862,-0.694475,'p35p'
0.000731,-0.604857,'p35p'
0.001975,-0.421745,'p35p'
0.002163,-0.244718,'p35p'
0.002303,-0.289536,'p35p'
0.002524,-0.339098,'p35p'
0.002582,-0.420689,'p35p'
0.002600,-0.448743,'p35p'
0.003568,-0.439916,'p35p'
0.005833,-0.459882,'p35p'
0.012279,-0.554623,'p35p'
0.000475,-0.524722,'p35p'
0.000332,-0.033815,'p35p'
0.000652,0.620072,'p35p'
0.000280,0.634706,'p35p'
0.000251,0.662102,'p35p'
0.000942,0.055829,'p35p'
0.000782,0.162541,'p35p'
0.000853,0.049481,'p35p'
0.000235,0.751394,'p35p'
0.000443,0.543509,'p35p'
0.001043,0.340675,'p35p'
0.000699,0.016239,'p35p'
0.000954,-0.007870,'p35p'
0.001108,0.039332,'p35p'
0.000616,0.626267,'p35p'
0.000044,2.259262,'p35p'
0.000072,2.182638,'p35p'
0.000779,1.469192,'p35p'
0.000902,0.566046,'p35p'
0.000970,0.686287,'p35p'
0.000181,-0.292337,'p35p'
0.000941,-0.600964,'p35p'
0.000866,-0.589727,'p35p'
0.000756,-0.467583,'p35p'
0.001947,-0.295510,'p35p'
0.002138,-0.144496,'p35p'
0.002268,-0.185641,'p35p'
0.002488,-0.257156,'p35p'
0.002545,-0.361987,'p35p'
0.002561,-0.416391,'p35p'
0.003525,-0.455192,'p35p'
0.005790,-0.515353,'p35p'
0.012325,-0.642915,'p35p'
0.000455,-0.613719,'p35p'
0.000380,0.074608,'p35p'
0.000675,0.581675,'p35p'
0.000241,0.636009,'p35p'
0.000210,0.662607,'p35p'
0.000913,0.044543,'p35p'
0.000774,0.163576,'p35p'
0.000818,0.039002,'p35p'
0.000189,0.748758,'p35p'
0.000398,0.598471,'p35p'
0.001020,0.449329,'p35p'
0.000713,0.044963,'p35p'
0.000966,-0.001365,'p35p'
0.001119,0.040344,'p35p'
0.000585,0.635205,'p35p'
0.000038,1.823532,'p35p'
0.000794,0.942009,'p35p'
0.000912,0.131886,'p35p'
0.000981,0.336605,'p35p'
0.000167,-0.456063,'p35p'
0.000911,-0.572921,'p35p'
0.000826,-0.429707,'p35p'
0.000741,-0.290469,'p35p'
0.001923,-0.128684,'p35p'
0.002119,0.000370,'p35p'
0.002251,-0.042350,'p35p'
0.002471,-0.140084,'p35p'
0.002529,-0.273813,'p35p'
0.002547,-0.361378,'p35p'
0.003508,-0.454590,'p35p'
0.005771,-0.568875,'p35p'
0.012352,-0.711936,'p35p'
0.000491,-0.601456,'p35p'
0.000383,0.390979,'p35p'
0.000696,0.618964,'p35p'
0.000209,0.604776,'p35p'
0.000176,0.597861,'p35p'
0.000886,-0.030148,'p35p'
0.000765,0.094748,'p35p'
0.000804,-0.026715,'p35p'
0.000202,0.698991,'p35p'
0.000389,0.597816,'p35p'
0.001004,0.498586,'p35p'
0.000737,0.032450,'p35p'
0.000991,-0.035869,'p35p'
0.001147,0.000000,'p35p'
0.000558,0.632719,'p35p'
0.000773,0.503003,'p35p'
0.000886,-0.202135,'p35p'
0.000956,0.088214,'p35p'
0.000194,-0.500166,'p35p'
0.000901,-0.463426,'p35p'
0.000815,-0.274406,'p35p'
0.000766,-0.139326,'p35p'
0.001924,0.005754,'p35p'
0.002124,0.111010,'p35p'
0.002250,0.069400,'p35p'
0.002469,-0.047398,'p35p'
0.002526,-0.200777,'p35p'
0.002543,-0.312173,'p35p'
0.003499,-0.448852,'p35p'
0.005761,-0.607039,'p35p'
0.012372,-0.737351,'p35p'
0.000498,-0.541983,'p35p'
0.000409,0.542931,'p35p'
0.000694,0.625659,'p35p'
0.000198,0.595732,'p35p'
0.000159,0.571279,'p35p'
0.000884,-0.075174,'p35p'
0.000785,0.057405,'p35p'
0.000806,-0.068478,'p35p'
0.000200,0.676609,'p35p'
0.000357,0.619460,'p35p'
0.001013,0.565252,'p35p'
0.000772,0.036813,'p35p'
0.001026,-0.053365,'p35p'
0.001180,-0.023028,'p35p'
0.000556,0.635914,'p35p'
0.000203,-0.520871,'p35p'
0.000224,-0.126963,'p35p'
0.000939,-0.348786,'p35p'
0.001331,-0.212174,'p35p'
0.001449,-0.018765,'p35p'
0.001533,0.086883,'p35p'
0.002339,0.188199,'p35p'
0.002550,0.244329,'p35p'
0.002515,0.212285,'p35p'
0.002697,0.075276,'p35p'
0.002727,-0.095728,'p35p'
0.002692,-0.232476,'p35p'
0.003538,-0.426320,'p35p'
0.005791,-0.633676,'p35p'
0.012445,-0.713855,'p35p'
0.000566,-0.462917,'p35p'
0.001102,0.534354,'p35p'
0.000793,0.591116,'p35p'
0.000848,0.618225,'p35p'
0.000810,0.593924,'p35p'
0.001406,-0.085389,'p35p'
0.001409,0.065765,'p35p'
0.001216,-0.086552,'p35p'
0.000669,0.686708,'p35p'
0.000505,0.702669,'p35p'
0.001523,0.748372,'p35p'
0.001270,0.097087,'p35p'
0.001448,-0.037954,'p35p'
0.001552,-0.019606,'p35p'
0.001121,0.655504,'p35p'
0.000086,1.382295,'p35p'
0.001066,-0.249758,'p35p'
0.001419,-0.092421,'p35p'
0.001476,0.101730,'p35p'
0.001651,0.188716,'p35p'
0.002446,0.261779,'p35p'
0.002673,0.291275,'p35p'
0.002625,0.272868,'p35p'
0.002803,0.137285,'p35p'
0.002832,-0.029330,'p35p'
0.002794,-0.165818,'p35p'
0.003608,-0.380993,'p35p'
0.005843,-0.594873,'p35p'
0.012476,-0.693428,'p35p'
0.000756,-0.504047,'p35p'
0.001209,0.290057,'p35p'
0.000839,0.503612,'p35p'
0.000961,0.643701,'p35p'
0.000920,0.665724,'p35p'
0.001513,0.043885,'p35p'
0.001560,0.210434,'p35p'
0.001352,0.012888,'p35p'
0.000813,0.725968,'p35p'
0.000589,0.768672,'p35p'
0.001661,0.952428,'p35p'
0.001452,0.246035,'p35p'
0.001640,0.069091,'p35p'
0.001748,0.071409,'p35p'
0.001235,0.666057,'p35p'
0.001132,0.209431,'p35p'
0.001468,0.228377,'p35p'
0.001559,0.352090,'p35p'
0.001722,0.385862,'p35p'
0.002480,0.408393,'p35p'
0.002704,0.395665,'p35p'
0.002641,0.385825,'p35p'
0.002815,0.236804,'p35p'
0.002841,0.059866,'p35p'
0.002798,-0.093116,'p35p'
0.003600,-0.345744,'p35p'
0.005833,-0.583256,'p35p'
0.012494,-0.635341,'p35p'
0.000790,-0.418110,'p35p'
0.001281,0.367745,'p35p'
0.000902,0.509073,'p35p'
0.001027,0.643303,'p35p'
0.000987,0.652794,'p35p'
0.001565,0.020041,'p35p'
0.001612,0.198211,'p35p'
0.001392,-0.020147,'p35p'
0.000871,0.714612,'p35p'
0.000657,0.799438,'p35p'
0.001705,1.063378,'p35p'
0.001493,0.289807,'p35p'
0.001672,0.071667,'p35p'
0.001774,0.061164,'p35p'
0.001292,0.673715,'p35p'
0.000842,0.288349,'p35p'
0.000801,0.448388,'p35p'
0.000598,0.462557,'p35p'
0.001810,0.457039,'p35p'
0.001995,0.434517,'p35p'
0.002157,0.447668,'p35p'
0.002382,0.331230,'p35p'
0.002444,0.192396,'p35p'
0.002471,0.076161,'p35p'
0.003452,-0.196407,'p35p'
0.005713,-0.417800,'p35p'
0.012387,-0.617257,'p35p'
0.000568,-0.610394,'p35p'
0.000357,-0.179918,'p35p'
0.000829,0.263908,'p35p'
0.000208,0.515728,'p35p'
