f,algo
0.000614,'p35p'
0.000535,'p35p'
0.000543,'p35p'
0.000431,'p35p'
0.000434,'p35p'
0.000656,'p35p'
0.000807,'p35p'
0.002014,'p35p'
0.002976,'p35p'
0.002671,'p35p'
0.000555,'p35p'
0.004082,'p35p'
0.003158,'p35p'
0.002507,'p35p'
0.001399,'p35p'
0.001851,'p35p'
0.001021,'p35p'
0.000862,'p35p'
0.000581,'p35p'
0.000428,'p35p'
0.000393,'p35p'
0.000664,'p35p'
0.014245,'p35p'
0.001878,'p35p'
0.001006,'p35p'
0.001989,'p35p'
0.000673,'p35p'
0.000689,'p35p'
0.000808,'p35p'
0.000848,'p35p'
0.001270,'p35p'
0.000854,'p35p'
0.001558,'p35p'
0.001761,'p35p'
0.001420,'p35p'
0.001560,'p35p'
0.002203,'p35p'
0.001355,'p35p'
0.000606,'p4p'
0.000526,'p4p'
0.000540,'p4p'
0.000424,'p4p'
0.000427,'p4p'
0.000648,'p4p'
0.000798,'p4p'
0.002011,'p4p'
0.002972,'p4p'
0.002667,'p4p'
0.000562,'p4p'
0.004048,'p4p'
0.003145,'p4p'
0.002190,'p4p'
0.001486,'p4p'
0.001834,'p4p'
0.001027,'p4p'
0.000790,'p4p'
0.000436,'p4p'
0.000197,'p4p'
0.000073,'p4p'
0.000348,'p4p'
0.012317,'p4p'
0.001864,'p4p'
0.000994,'p4p'
0.001975,'p4p'
0.000667,'p4p'
0.000683,'p4p'
0.000818,'p4p'
0.000840,'p4p'
0.001263,'p4p'
0.000845,'p4p'
0.001573,'p4p'
0.001747,'p4p'
0.001420,'p4p'
0.001560,'p4p'
0.002226,'p4p'
0.001375,'p4p'
0.000617,'orig'
0.000538,'orig'
0.000535,'orig'
0.000433,'orig'
0.000436,'orig'
0.000658,'orig'
0.000810,'orig'
0.002026,'orig'
0.003013,'orig'
0.002708,'orig'
0.000541,'orig'
0.004126,'orig'
0.003199,'orig'
0.002503,'orig'
0.001389,'orig'
0.001854,'orig'
0.001028,'orig'
0.000878,'orig'
0.000600,'orig'
0.000455,'orig'
0.000416,'orig'
0.000653,'orig'
0.014119,'orig'
0.001881,'orig'
0.001009,'orig'
0.001991,'orig'
0.000676,'orig'
0.000691,'orig'
0.000820,'orig'
0.000846,'orig'
0.001254,'orig'
0.000848,'orig'
0.001587,'orig'
0.001745,'orig'
0.001389,'orig'
0.001540,'orig'
0.002704,'orig'
0.001378,'orig'
