R,t,algo
0.0362693180,0.3041036424,p35p
0.0364837690,0.2946775597,p35p
0.0347335211,0.2426738864,p35p
0.0377867680,0.3088306156,p35p
0.0417376178,0.3037683614,p35p
0.0367720222,0.2705462742,p35p
0.0367436401,0.2663399457,p35p
0.0371150152,0.2580323796,p35p
0.0368284120,0.2529026759,p35p
0.0369966829,0.2485232056,p35p
0.0367162061,0.2420758263,p35p
0.0379012695,0.2312915829,p35p
0.0358190563,0.2237772221,p35p
0.0364282165,0.2174064035,p35p
0.0398133067,0.2096254012,p35p
0.0399813260,0.2104535434,p35p
0.0406995189,0.2172915751,p35p
0.0410768048,0.2201958555,p35p
0.0413766537,0.2245778257,p35p
0.0415049582,0.2323536347,p35p
0.0402684870,0.2408881399,p35p
0.0384742136,0.2781214270,p35p
0.0371133482,0.2936257550,p35p
0.0362017481,0.3078868843,p35p
0.0353040494,0.2157308747,p35p
0.0368288116,0.1957801624,p35p
0.0367524254,0.1688268468,p35p
0.0376920992,0.1515655306,p35p
0.0375650187,0.1548912654,p35p
0.0380429336,0.1449250937,p35p
0.0369008710,0.1787049138,p35p
0.0368843732,0.2511848475,p35p
0.0382979395,0.2932322039,p35p
0.0371002469,0.2779390595,p35p
0.0376232846,0.2637825527,p35p
0.0378340709,0.2535081614,p35p
0.0372705501,0.2722452891,p35p
0.0084979546,0.0157167231,p4p
0.0084036568,0.0155182756,p4p
0.0113689671,0.0740223534,p4p
0.0197673478,0.0196111934,p4p
0.0050360607,0.0267807096,p4p
0.0080512373,0.0147921716,p4p
0.0078524781,0.0146877265,p4p
0.0085800239,0.0149146180,p4p
0.0085386724,0.0147125569,p4p
0.0088282655,0.0145314818,p4p
0.0076856683,0.0131234182,p4p
0.0060916335,0.0127537030,p4p
0.0081191541,0.0126980983,p4p
0.0076519223,0.0113729890,p4p
0.0034910345,0.0129362567,p4p
0.0040995041,0.0134040544,p4p
0.0036068876,0.0132699723,p4p
0.0030741698,0.0132796491,p4p
0.0030310090,0.0133696889,p4p
0.0030547450,0.0135587491,p4p
0.0046060809,0.0163587083,p4p
0.2541281258,0.4400043436,p4p
0.0093345789,0.0169913565,p4p
0.0080057168,0.0163406461,p4p
0.0083295698,0.0160367231,p4p
0.0091607357,0.0060265934,p4p
0.0074486562,0.0072385773,p4p
0.0075134676,0.0062360937,p4p
0.0061706927,0.0064171521,p4p
0.0066833140,0.0061626723,p4p
0.0058720000,0.0059547351,p4p
0.0079124148,0.0055951089,p4p
0.0078868050,0.0110528290,p4p
0.0062469927,0.0147503726,p4p
0.0078303584,0.0164340262,p4p
0.0080560677,0.0163449463,p4p
