R,t,algo
2.0780788485,0.3041036424,p35p
2.0903659870,0.2946775597,p35p
1.9900841652,0.2426738864,p35p
2.1650223302,0.3088306156,p35p
2.3913893458,0.3037683614,p35p
2.1068816784,0.2705462742,p35p
2.1052555012,0.2663399457,p35p
2.1265337297,0.2580323796,p35p
2.1101125740,0.2529026759,p35p
2.1197537884,0.2485232056,p35p
2.1036836469,0.2420758263,p35p
2.1715827808,0.2312915829,p35p
2.0522807509,0.2237772221,p35p
2.0871830632,0.2174064035,p35p
2.2811344452,0.2096254012,p35p
2.2907612419,0.2104535434,p35p
2.3319106609,0.2172915751,p35p
2.3535275481,0.2201958555,p35p
2.3707076288,0.2245778257,p35p
2.3780589329,0.2323536347,p35p
2.3072143536,0.2408881399,p35p
79.8532347842,8.3537137117,p35p
2.2044100568,0.2781214270,p35p
2.1264382158,0.2936257550,p35p
2.0742073798,0.3078868843,p35p
2.0227730331,0.2157308747,p35p
2.1101354716,0.1957801624,p35p
2.1057588620,0.1688268468,p35p
2.1595982080,0.1515655306,p35p
2.1523170299,0.1548912654,p35p
2.1796995331,0.1449250937,p35p
2.1142641699,0.1787049138,p35p
2.1133189127,0.2511848475,p35p
2.1943102962,0.2932322039,p35p
2.1256875682,0.2779390595,p35p
2.1556554176,0.2637825527,p35p
2.1677325826,0.2535081614,p35p
2.1354452215,0.2722452891,p35p
0.4868969308,0.0157167231,p4p
0.4814940649,0.0155182756,p4p
0.6513938304,0.0740223534,p4p
1.1325856008,0.0196111934,p4p
0.2885450209,0.0267807096,p4p
0.4613019179,0.0147921716,p4p
0.4499138533,0.0146877265,p4p
0.4915991574,0.0149146180,p4p
0.4892298897,0.0147125569,p4p
0.5058223531,0.0145314818,p4p
0.4403563559,0.0131234182,p4p
0.3490248909,0.0127537030,p4p
0.4651932619,0.0126980983,p4p
0.4384228535,0.0113729890,p4p
0.2000215447,0.0129362567,p4p
0.2348842812,0.0134040544,p4p
0.2066594387,0.0132699723,p4p
0.1761369531,0.0132796491,p4p
0.1736640212,0.0133696889,p4p
0.1750239973,0.0135587491,p4p
0.2639089961,0.0163587083,p4p
14.5604690643,0.4400043436,p4p
