f,algo
0.0006247232,p35p
0.0012039853,p35p
0.0009898783,p35p
0.0013066394,p35p
0.0010749345,p35p
0.0007361762,p35p
0.0008960232,p35p
0.0027650851,p35p
0.0034721254,p35p
0.0030056549,p35p
0.0005106016,p35p
0.0044853708,p35p
0.0039209934,p35p
0.0033166353,p35p
0.0017954717,p35p
0.0019201573,p35p
0.0011159961,p35p
0.0011893205,p35p
0.0011526583,p35p
0.0011746556,p35p
0.0026499409,p35p
15.8014465422,p35p
0.0020404421,p35p
0.0019172235,p35p
0.0010250740,p35p
0.0020589469,p35p
0.0007215113,p35p
0.0007713718,p35p
0.0004590102,p35p
0.0009649480,p35p
0.0012453885,p35p
0.0009080041,p35p
0.0012615242,p35p
0.0016204675,p35p
0.0013066394,p35p
0.0014958161,p35p
0.0032336025,p35p
0.0013237674,p35p
0.0005426000,p4p
0.0009370848,p4p
0.0007024470,p4p
0.0010514707,p4p
0.0008021681,p4p
0.0006261897,p4p
0.0007757713,p4p
0.0024100981,p4p
0.0033166353,p4p
0.0030731317,p4p
0.0005443482,p4p
0.0040510660,p4p
0.0032652941,p4p
0.0025670551,p4p
0.0014067462,p4p
0.0017749353,p4p
0.0009590821,p4p
0.0007611064,p4p
0.0004326135,p4p
0.0002888978,p4p
0.0047954105,p4p
0.2130746060,p4p
0.0024805087,p4p
0.0018306770,p4p
0.0009473502,p4p
0.0018917674,p4p
0.0006261897,p4p
0.0006569859,p4p
0.0008402967,p4p
0.0007933691,p4p
0.0013451369,p4p
0.0007774510,p4p
0.0015123622,p4p
0.0016893923,p4p
0.0014664864,p4p
0.0016321993,p4p
0.0023639761,p4p
0.0014219871,p4p
0.0005587313,real
0.0008241653,real
0.0005235356,real
0.0009033556,real
0.0006144578,real
0.0006276562,real
0.0007831037,real
0.0022516741,real
0.0031362079,real
0.0028384295,real
0.0005751604,real
0.0043958688,real
0.0037053607,real
0.0021577932,real
0.0015020940,real
0.0019304255,real
0.0010969318,real
0.0010177416,real
0.0007787043,real
0.0006379216,real
0.0017069902,real
0.0040592343,real
0.0040970200,real
0.0018424122,real
0.0009532162,real
0.0018741696,real
0.0006305891,real
0.0006657848,real
0.0008564280,real
