R,t,algo
0.0926575982,0.0012396112,p35p
0.1105172695,0.0009396568,p35p
0.6211959313,0.0628845281,p35p
0.8103314499,0.0292088442,p35p
0.3520146398,0.0349751233,p35p
0.1139502924,0.0004774413,p35p
0.0626366943,0.0004858918,p35p
0.1583153916,0.0006648598,p35p
0.1258461116,0.0007664151,p35p
0.1756002893,0.0009178534,p35p
0.0506822094,0.0014009898,p35p
0.0618316560,0.0009901801,p35p
0.1380964587,0.0039125251,p35p
0.0674291100,0.0032727771,p35p
0.1516326698,0.0029190113,p35p
0.1788332844,0.0027643431,p35p
0.2237873219,0.0022391293,p35p
0.2346443618,0.0013775981,p35p
0.2725895257,0.0005754366,p35p
0.2676017511,0.0004988167,p35p
0.3663014423,0.0053364272,p35p
0.0863283764,0.0056681187,p35p
0.0935366907,0.0060346298,p35p
0.0698883559,0.0011595635,p35p
0.1019174362,0.0012303562,p35p
0.1178048922,0.0052272904,p35p
0.0369194061,0.0021800246,p35p
0.0022291198,0.0019455883,p35p
0.0621875829,0.0008100269,p35p
0.0348283526,0.0010188713,p35p
0.0711597637,0.0011167505,p35p
0.1008827107,0.0025154853,p35p
0.0909355658,0.0020743961,p35p
0.0739693921,0.0016007125,p35p
0.0753576510,0.0050686180,p35p
0.1642927004,0.0049852851,p35p
0.1359510290,0.0054422573,p35p
0.0466963315,0.0050378200,p35p
0.0925102888,0.0012132435,p4p
0.1104546659,0.0009169284,p4p
0.6209984513,0.0628924905,p4p
0.8104321087,0.0291946611,p4p
0.3521360627,0.0349652395,p4p
0.1136302948,0.0004580730,p4p
0.0618719355,0.0004698099,p4p
0.1579683189,0.0006702798,p4p
0.1253760938,0.0007699916,p4p
0.1753059217,0.0009178225,p4p
0.0584076265,0.0013857853,p4p
0.0255339939,0.0009782257,p4p
0.1625362976,0.0039004424,p4p
0.1064820764,0.0032723582,p4p
0.1627908796,0.0029224864,p4p
0.2044182278,0.0027700699,p4p
0.1828023974,0.0022446701,p4p
0.1924006630,0.0013878976,p4p
0.2202255433,0.0005848386,p4p
0.2793838398,0.0004763342,p4p
0.3616103381,0.0053170730,p4p
0.1045603495,0.0056421802,p4p
0.0814695581,0.0060275681,p4p
0.0611937758,0.0011588917,p4p
0.1011589716,0.0012056819,p4p
0.1161847337,0.0051979335,p4p
0.0277144725,0.0021623871,p4p
0.0395626929,0.0019356020,p4p
0.0538096387,0.0008229500,p4p
0.0215271749,0.0010414231,p4p
0.0450856192,0.0011284662,p4p
0.1014392263,0.0024989804,p4p
0.0922785899,0.0020467653,p4p
0.0692056130,0.0015841203,p4p
0.1305870998,0.0051034660,p4p
0.1299498490,0.0049873527,p4p
0.1495672663,0.0050886447,p4p
0.0329732599,0.0049974445,p4p
0.0797908011,0.0014173804,real
0.1018075218,0.0011348698,real
0.6240523662,0.0626161046,real
0.8009256218,0.0294532182,real
0.3622753506,0.0352390220,real
0.1082953959,0.0004862779,real
0.0518421912,0.0004152047,real
0.1542118637,0.0005106197,real
0.1205703766,0.0005991125,real
0.1716035835,0.0007082652,real
0.0451222629,0.0011490660,real
0.0388593152,0.0007045575,real
0.1540726400,0.0036311015,real
0.0874237269,0.0030348419,real
0.1671697369,0.0027388607,real
0.1615610906,0.0028565881,real
0.2034080570,0.0022991381,real
0.1919240248,0.0018381572,real
0.2143302901,0.0015554398,real
0.2288546045,0.0013029908,real
0.2503074448,0.0023476648,real
0.2997467652,0.0026389377,real
0.4481008127,0.0068221894,real
0.0357375545,0.0013997391,real
0.0905206398,0.0014390540,real
0.1170102086,0.0054295588,real
0.0250208778,0.0023363398,real
0.0463407111,0.0020894763,real
0.0565952564,0.0007468368,real
0.0314955412,0.0010818545,real
0.0814177327,0.0010779104,real
0.0949891155,0.0026493176,real
0.0894366912,0.0022487711,real
0.0869869862,0.0015844278,real
0.1308763208,0.0048177419,real
0.0968748619,0.0047999338,real
0.1107698735,0.0049694274,real
0.0460690791,0.0051139543,real
1.5905902545,0.3593210304,p35p
