f,algo
0.0005264686,p35p
0.0007229778,p35p
0.0004194151,p35p
0.0007977686,p35p
0.0005088708,p35p
0.0005909940,p35p
0.0007449751,p35p
0.0021533925,p35p
0.0030335257,p35p
0.0027342805,p35p
0.0006191778,p35p
0.0043782619,p35p
0.0036818905,p35p
0.0021475250,p35p
0.0014052793,p35p
0.0015901073,p35p
0.0007713718,p35p
0.0003915519,p35p
0.0001583805,p35p
0.0006423210,p35p
0.0009708140,p35p
0.0075333406,p35p
0.0077495728,p35p
0.0018013393,p35p
0.0009238864,p35p
0.0017964458,p35p
0.0005953935,p35p
0.0006335221,p35p
0.0008637605,p35p
0.0007508410,p35p
0.0013480707,p35p
0.0008449279,p35p
0.0014199482,p35p
0.0016585961,p35p
0.0014899502,p35p
0.0016248669,p35p
0.0029711014,p35p
0.0014175892,p35p
0.0005264686,p4p
0.0007405756,p4p
0.0004296805,p4p
0.0008138999,p4p
0.0005206027,p4p
0.0005953935,p4p
0.0007493745,p4p
0.0021607270,p4p
0.0030423271,p4p
0.0027430818,p4p
0.0006162433,p4p
0.0043811964,p4p
0.0036760230,p4p
0.0021475250,p4p
0.0013994118,p4p
0.0015827729,p4p
0.0007596399,p4p
0.0003812865,p4p
0.0001686459,p4p
0.0006540529,p4p
0.0009693475,p4p
0.0075538714,p4p
0.0076996986,p4p
0.0018057399,p4p
0.0009238864,p4p
0.0017979123,p4p
0.0005968600,p4p
0.0006349886,p4p
0.0008696264,p4p
0.0007552405,p4p
0.0013539382,p4p
0.0008331928,p4p
0.0014199482,p4p
0.0016527302,p4p
0.0014928831,p4p
0.0016219339,p4p
0.0022466571,p4p
0.0014278510,p4p
0.0005587313,real
0.0008241653,real
0.0005220692,real
0.0009033556,real
0.0006144578,real
0.0006261897,real
0.0007831037,real
0.0022516741,real
0.0031362079,real
0.0028384295,real
0.0005751604,real
0.0044002706,real
0.0037126952,real
0.0021548594,real
0.0015050278,real
0.0019392268,real
0.0011071972,real
0.0010338729,real
0.0008021681,real
0.0006687178,real
0.0016864593,real
0.0044610516,real
0.0041556956,real
0.0018424122,real
0.0009532162,real
0.0018727031,real
0.0006320556,real
0.0006672513,real
0.0008520286,real
0.0007699054,real
0.0013363356,real
0.0008229245,real
0.0014551535,real
0.0016659285,real
0.0014562210,real
0.0015911377,real
0.0021557350,real
0.0014366468,real
0.0022354367,p35p
0.0021004890,p35p
0.0011367870,p35p
0.0018056578,p35p
0.0014756229,p35p
0.0010663796,p35p
0.0011514552,p35p
0.0007451456,p35p
0.0011265193,p35p
0.0022486381,p35p
0.0025170665,p35p
8.2490164959,p35p
0.0001554831,p35p
0.0004253784,p35p
0.0007891502,p35p
0.0013964145,p35p
0.0033766241,p35p
0.0052424217,p35p
