R,t,algo
0.000708,0.014677,real
0.000594,0.011403,real
0.000532,0.009515,real
0.000489,0.008432,real
0.000463,0.007487,real
0.000458,0.007120,real
0.000471,0.006980,real
0.000995,0.008899,real
0.001139,0.010003,real
0.001183,0.011417,real
0.000365,0.019384,real
0.000661,0.013452,real
0.001031,0.054923,real
0.000700,0.048804,real
0.001522,0.042925,real
0.001709,0.043673,real
0.001835,0.036412,real
0.002049,0.028405,real
0.002106,0.023774,real
0.002129,0.019289,real
0.003090,0.050621,real
0.005357,0.121378,real
0.012549,0.254408,real
0.000588,0.018149,real
0.000698,0.014580,real
0.001123,0.073785,real
0.000348,0.027808,real
0.000385,0.024572,real
0.000578,0.021761,real
0.000406,0.026858,real
0.000390,0.031311,real
0.000392,0.029897,real
0.000629,0.024804,real
0.000591,0.022037,real
0.000533,0.079013,real
0.000753,0.081428,real
0.001002,0.094516,real
0.000307,0.062701,real
0.005066,2.098370,p4p
0.005050,1.995260,p4p
0.005002,1.925255,p4p
0.004965,1.853841,p4p
0.004951,1.783265,p4p
0.004930,1.735456,p4p
0.004944,1.693095,p4p
0.005439,1.614677,p4p
0.005508,1.567934,p4p
0.005510,1.531812,p4p
0.004573,1.485923,p4p
0.004068,1.383715,p4p
0.004845,1.315670,p4p
0.004672,1.252726,p4p
0.003027,1.161009,p4p
0.002521,1.167688,p4p
0.002995,1.228714,p4p
0.002923,1.256832,p4p
0.002953,1.315327,p4p
0.003042,1.433045,p4p
0.075661,4.556268,p4p
0.219836,17.718278,p4p
0.197931,65.577549,p4p
0.005123,1.996167,p4p
0.004988,2.139281,p4p
0.005500,1.486889,p4p
0.004650,1.201328,p4p
0.004718,0.865158,p4p
0.004038,0.685994,p4p
0.004084,0.791398,p4p
0.004170,0.898174,p4p
0.004805,1.189468,p4p
0.004912,1.721863,p4p
0.003828,2.080750,p4p
0.004608,2.001487,p4p
0.004542,1.971582,p4p
0.004514,2.011993,p4p
0.004284,2.214845,p4p
