R,t,algo
0.000168,0.113360,real
0.000240,0.078036,real
0.000286,0.263945,real
0.000333,0.343517,real
0.000356,0.701585,real
0.000383,0.838338,real
0.000956,0.770867,real
0.001066,0.454548,real
0.001129,0.527516,real
0.000390,-0.117359,real
0.001241,-0.489870,real
0.000972,-0.801826,real
0.000736,-0.889460,real
0.002177,-0.634714,real
0.002361,-0.371813,real
0.002536,-0.431156,real
0.002752,-0.419692,real
0.002812,-0.444425,real
0.002837,-0.419797,real
0.003789,-0.315044,real
0.006055,-0.266163,real
0.011906,-0.255086,real
0.000598,-0.073944,real
0.000205,0.005073,real
0.000543,0.862445,real
0.000552,0.596093,real
0.000527,0.610833,real
0.001176,0.071838,real
0.000914,0.146474,real
0.001088,0.060027,real
0.000492,0.699697,real
0.000682,0.373249,real
0.001242,0.120409,real
0.000641,-0.027622,real
0.000900,-0.016325,real
0.001132,0.035258,real
0.000849,0.586592,real
0.000077,0.036711,real
0.000129,0.369198,real
0.000173,0.445346,real
0.000201,0.907502,real
0.000225,1.048201,real
0.000827,0.918059,real
0.000940,0.515731,real
0.001004,0.594152,real
0.000282,-0.134785,real
0.001112,-0.518757,real
0.000927,-0.788707,real
0.000756,-0.794400,real
0.002078,-0.579166,real
0.002275,-0.350931,real
0.002422,-0.403086,real
0.002636,-0.413903,real
0.002692,-0.457627,real
0.002711,-0.448375,real
0.003651,-0.374412,real
0.005918,-0.346412,real
0.012054,-0.379106,real
0.000489,-0.281195,real
0.000278,-0.182668,real
0.000559,0.738387,real
0.000405,0.617283,real
0.000375,0.638790,real
0.001066,0.069075,real
0.000858,0.156254,real
0.000965,0.059951,real
0.000331,0.732392,real
0.000519,0.440568,real
0.001151,0.190322,real
0.000647,-0.015157,real
0.000916,-0.013665,real
0.001156,0.037506,real
0.000728,0.604730,real
0.000053,0.781826,real
0.000096,0.666278,real
0.000125,1.243473,real
0.000151,1.355849,real
0.000802,1.118847,real
0.000916,0.598388,real
0.000980,0.680040,real
0.000225,-0.146850,real
0.001038,-0.539992,real
0.000898,-0.757809,real
0.000744,-0.713840,real
0.002013,-0.515873,real
0.002214,-0.312484,real
0.002354,-0.360064,real
0.002567,-0.388188,real
0.002623,-0.448128,real
0.002642,-0.453909,real
0.003578,-0.408031,real
0.005843,-0.400098,real
0.012131,-0.464308,real
0.000468,-0.412841,real
0.000313,-0.180961,real
0.000610,0.656342,real
0.000330,0.638625,real
0.000299,0.669450,real
0.000998,0.076127,real
0.000813,0.174068,real
0.000896,0.066707,real
0.000265,0.758503,real
0.000461,0.505507,real
0.001091,0.269154,real
0.000645,0.007104,real
0.000918,-0.002887,real
0.001163,0.046479,real
0.000658,0.619692,real
0.000049,0.576661,real
0.000075,1.445634,real
0.000106,1.543122,real
0.000804,1.198256,real
0.000918,0.568562,real
0.000981,0.665689,real
0.000183,-0.213316,real
0.000985,-0.578839,real
0.000873,-0.694629,real
0.000725,-0.605064,real
0.001963,-0.421649,real
0.002166,-0.244634,real
0.002304,-0.289497,real
0.002518,-0.339035,real
0.002573,-0.420642,real
0.002593,-0.448684,real
0.003529,-0.439823,real
0.005793,-0.460070,real
0.012183,-0.554332,real
0.000472,-0.524611,real
0.000334,-0.033726,real
0.000655,0.620237,real
0.000277,0.634931,real
0.000248,0.662319,real
0.000946,0.056004,real
0.000776,0.162708,real
0.000847,0.049612,real
0.000233,0.751628,real
0.000436,0.543830,real
0.001045,0.340861,real
0.000642,0.016779,real
0.000917,-0.007606,real
0.001167,0.038997,real
0.000605,0.626542,real
0.000044,2.259684,real
0.000071,2.183035,real
0.000775,1.469503,real
0.000890,0.566235,real
0.000953,0.686516,real
0.000182,-0.292294,real
0.000950,-0.601042,real
0.000875,-0.589863,real
0.000745,-0.467800,real
0.001935,-0.295418,real
0.002142,-0.144427,real
0.002271,-0.185611,real
0.002483,-0.257099,real
0.002538,-0.361943,real
0.002556,-0.416334,real
0.003488,-0.455055,real
0.005752,-0.515546,real
0.012226,-0.642710,real
0.000454,-0.613621,real
0.000379,0.074707,real
0.000677,0.581822,real
0.000240,0.636219,real
0.000208,0.662812,real
0.000918,0.044720,real
0.000768,0.163743,real
0.000814,0.039131,real
0.000190,0.748981,real
0.000395,0.598783,real
0.001022,0.449510,real
0.000655,0.045530,real
0.000928,-0.001093,real
0.001178,0.039967,real
0.000576,0.635469,real
0.000038,1.823878,real
0.000792,0.942258,real
0.000900,0.132010,real
0.000965,0.336788,real
0.000166,-0.456052,real
0.000919,-0.573033,real
0.000834,-0.429814,real
0.000729,-0.290677,real
0.001912,-0.128578,real
0.002123,0.000445,real
0.002254,-0.042308,real
0.002467,-0.140012,real
0.002522,-0.273754,real
0.002542,-0.361307,real
0.003472,-0.454380,real
0.005733,-0.569057,real
0.012253,-0.711918,real
0.000490,-0.601389,real
0.000381,0.391119,real
0.000699,0.619119,real
0.000207,0.604985,real
0.000175,0.598063,real
0.000890,-0.029977,real
0.000758,0.094912,real
0.000799,-0.026593,real
0.000204,0.699211,real
0.000388,0.598126,real
0.001005,0.498773,real
0.000677,0.033030,real
0.000953,-0.035593,real
0.001206,-0.000414,real
0.000548,0.632983,real
0.000771,0.503201,real
0.000875,-0.202082,real
0.000940,0.088359,real
0.000193,-0.500160,real
0.000909,-0.463530,real
0.000822,-0.274493,real
0.000754,-0.139525,real
0.001913,0.005868,real
0.002128,0.111085,real
0.002253,0.069448,real
0.002465,-0.047317,real
0.002520,-0.200708,real
0.002538,-0.312095,real
0.003463,-0.448590,real
0.005723,-0.607196,real
0.012273,-0.737533,real
0.000497,-0.541933,real
0.000406,0.543091,real
0.000697,0.625814,real
0.000196,0.595936,real
0.000157,0.571475,real
0.000889,-0.075007,real
0.000778,0.057564,real
0.000800,-0.068363,real
0.000201,0.676823,real
0.000355,0.619766,real
0.001014,0.565442,real
0.000712,0.037403,real
0.000987,-0.053086,real
0.001239,-0.023475,real
0.000546,0.636176,real
0.000199,-0.521112,real
0.000213,-0.126877,real
0.000937,-0.348729,real
0.001332,-0.212248,real
0.001448,-0.018825,real
0.001514,0.086695,real
0.002321,0.188326,real
0.002548,0.244403,real
0.002511,0.212339,real
0.002686,0.075364,real
0.002713,-0.095650,real
0.002680,-0.232391,real
0.003501,-0.426011,real
0.005755,-0.633773,real
0.012348,-0.714203,real
