f,algo
0.000616,real
0.000537,real
0.000528,real
0.000431,real
0.000434,real
0.000657,real
0.000808,real
0.002018,real
0.003006,real
0.002698,real
0.000546,real
0.004105,real
0.003051,real
0.002290,real
0.001404,real
0.001850,real
0.001027,real
0.000878,real
0.000604,real
0.000450,real
0.000409,real
0.000660,real
0.014060,real
0.001878,real
0.001007,real
0.001987,real
0.000673,real
0.000691,real
0.000814,real
0.000851,real
0.001254,real
0.000846,real
0.001590,real
0.001735,real
0.001392,real
0.001541,real
0.002734,real
0.001387,real
0.000563,p4p
0.000686,p4p
0.000705,p4p
0.000456,p4p
0.000406,p4p
0.000617,p4p
0.000767,p4p
0.002233,p4p
0.003210,p4p
0.002803,p4p
0.000527,p4p
0.003885,p4p
0.004434,p4p
0.003299,p4p
0.001325,p4p
0.001379,p4p
0.000634,p4p
0.001125,p4p
0.002082,p4p
0.003396,p4p
0.188776,p4p
0.300442,p4p
12.473988,p4p
0.001847,p4p
0.000965,p4p
0.001952,p4p
0.000616,p4p
0.000638,p4p
0.000880,p4p
0.000537,p4p
0.001254,p4p
0.000868,p4p
0.001339,p4p
0.001587,p4p
0.001425,p4p
0.001532,p4p
0.001349,p4p
0.001250,p4p
