R,t,algo
2.078079,0.304104,p35p
2.090366,0.294678,p35p
1.990084,0.242674,p35p
2.165022,0.308831,p35p
2.391389,0.303768,p35p
2.106882,0.270546,p35p
2.105256,0.266340,p35p
2.126534,0.258032,p35p
2.110113,0.252903,p35p
2.119754,0.248523,p35p
2.103684,0.242076,p35p
2.171583,0.231292,p35p
2.052281,0.223777,p35p
2.087183,0.217406,p35p
2.281134,0.209625,p35p
2.290761,0.210454,p35p
2.331911,0.217292,p35p
2.353528,0.220196,p35p
2.370708,0.224578,p35p
2.378059,0.232354,p35p
2.307214,0.240888,p35p
2.204410,0.278121,p35p
2.126438,0.293626,p35p
2.074207,0.307887,p35p
2.022773,0.215731,p35p
2.110135,0.195780,p35p
2.105759,0.168827,p35p
2.159598,0.151566,p35p
2.152317,0.154891,p35p
2.179700,0.144925,p35p
2.114264,0.178705,p35p
2.113319,0.251185,p35p
2.194310,0.293232,p35p
2.125688,0.277939,p35p
2.155655,0.263783,p35p
2.167733,0.253508,p35p
2.135445,0.272245,p35p
0.486897,0.015717,p4p
0.481494,0.015518,p4p
0.651394,0.074022,p4p
1.132586,0.019611,p4p
0.288545,0.026781,p4p
0.461302,0.014792,p4p
0.449914,0.014688,p4p
0.491599,0.014915,p4p
0.489230,0.014713,p4p
0.505822,0.014531,p4p
0.440356,0.013123,p4p
0.349025,0.012754,p4p
0.465193,0.012698,p4p
0.438423,0.011373,p4p
0.200022,0.012936,p4p
0.234884,0.013404,p4p
0.206659,0.013270,p4p
0.176137,0.013280,p4p
0.173664,0.013370,p4p
0.175024,0.013559,p4p
0.263909,0.016359,p4p
14.560469,0.440004,p4p
0.534832,0.016991,p4p
0.458694,0.016341,p4p
0.477249,0.016037,p4p
0.524871,0.006027,p4p
0.426777,0.007239,p4p
0.430490,0.006236,p4p
0.353555,0.006417,p4p
0.382926,0.006163,p4p
0.336441,0.005955,p4p
0.453348,0.005595,p4p
0.451881,0.011053,p4p
0.357926,0.014750,p4p
0.448646,0.016434,p4p
0.461579,0.016345,p4p
0.467105,0.016609,p4p
0.394049,0.008647,p4p
0.079363,0.001416,real
0.101505,0.001132,real
0.624017,0.062619,real
0.800721,0.029450,real
0.362592,0.035236,real
0.108105,0.000486,real
0.051549,0.000416,real
0.154172,0.000510,real
0.120347,0.000598,real
0.171447,0.000708,real
0.039752,0.001156,real
0.063908,0.000711,real
0.123041,0.003634,real
0.039950,0.003038,real
0.109052,0.002743,real
0.157665,0.002854,real
0.197240,0.002300,real
0.194870,0.001830,real
0.212730,0.001535,real
0.241527,0.001265,real
0.235194,0.002315,real
0.272788,0.002767,real
0.450079,0.006826,real
0.002603,0.001397,real
0.090835,0.001436,real
0.100437,0.005422,real
0.025118,0.002329,real
0.039759,0.002083,real
0.057131,0.000749,real
0.023275,0.001081,real
0.042887,0.001082,real
0.095024,0.002641,real
0.088820,0.002243,real
0.100631,0.001582,real
0.083620,0.004818,real
0.092194,0.004800,real
0.143620,0.004971,real
0.052588,0.005104,real
