R,t,algo
0.036269,0.304104,p35p
0.036484,0.294678,p35p
0.034734,0.242674,p35p
0.037787,0.308831,p35p
0.041738,0.303768,p35p
0.036772,0.270546,p35p
0.036744,0.266340,p35p
0.037115,0.258032,p35p
0.036828,0.252903,p35p
0.036997,0.248523,p35p
0.036716,0.242076,p35p
0.037901,0.231292,p35p
0.035819,0.223777,p35p
0.036428,0.217406,p35p
0.039813,0.209625,p35p
0.039981,0.210454,p35p
0.040700,0.217292,p35p
0.041077,0.220196,p35p
0.041377,0.224578,p35p
0.041505,0.232354,p35p
0.040268,0.240888,p35p
0.038474,0.278121,p35p
0.037113,0.293626,p35p
0.036202,0.307887,p35p
0.035304,0.215731,p35p
0.036829,0.195780,p35p
0.036752,0.168827,p35p
0.037692,0.151566,p35p
0.037565,0.154891,p35p
0.038043,0.144925,p35p
0.036901,0.178705,p35p
0.036884,0.251185,p35p
0.038298,0.293232,p35p
0.037100,0.277939,p35p
0.037623,0.263783,p35p
0.037834,0.253508,p35p
0.037271,0.272245,p35p
0.008498,0.015717,p4p
0.008404,0.015518,p4p
0.011369,0.074022,p4p
0.019767,0.019611,p4p
0.005036,0.026781,p4p
0.008051,0.014792,p4p
0.007852,0.014688,p4p
0.008580,0.014915,p4p
0.008539,0.014713,p4p
0.008828,0.014531,p4p
0.007686,0.013123,p4p
0.006092,0.012754,p4p
0.008119,0.012698,p4p
0.007652,0.011373,p4p
0.003491,0.012936,p4p
0.004100,0.013404,p4p
0.003607,0.013270,p4p
0.003074,0.013280,p4p
0.003031,0.013370,p4p
0.003055,0.013559,p4p
0.004606,0.016359,p4p
0.254128,0.440004,p4p
0.009335,0.016991,p4p
0.008006,0.016341,p4p
0.008330,0.016037,p4p
0.009161,0.006027,p4p
0.007449,0.007239,p4p
0.007513,0.006236,p4p
0.006171,0.006417,p4p
0.006683,0.006163,p4p
0.005872,0.005955,p4p
0.007912,0.005595,p4p
0.007887,0.011053,p4p
0.006247,0.014750,p4p
0.007830,0.016434,p4p
0.008056,0.016345,p4p
0.008153,0.016609,p4p
0.006877,0.008647,p4p
0.001385,0.001416,real
0.001772,0.001132,real
0.010891,0.062619,real
0.013975,0.029450,real
0.006328,0.035236,real
0.001887,0.000486,real
0.000900,0.000416,real
0.002691,0.000510,real
0.002100,0.000598,real
0.002992,0.000708,real
0.000694,0.001156,real
0.001115,0.000711,real
0.002147,0.003634,real
0.000697,0.003038,real
0.001903,0.002743,real
0.002752,0.002854,real
0.003442,0.002300,real
0.003401,0.001830,real
0.003713,0.001535,real
0.004215,0.001265,real
0.004105,0.002315,real
0.004761,0.002767,real
0.007855,0.006826,real
0.000045,0.001397,real
0.001585,0.001436,real
0.001753,0.005422,real
0.000438,0.002329,real
0.000694,0.002083,real
0.000997,0.000749,real
0.000406,0.001081,real
0.000749,0.001082,real
0.001658,0.002641,real
0.001550,0.002243,real
0.001756,0.001582,real
0.001459,0.004818,real
0.001609,0.004800,real
0.002507,0.004971,real
0.000918,0.005104,real
