f,algo
0.000625,p35p
0.001204,p35p
0.000990,p35p
0.001307,p35p
0.001075,p35p
0.000736,p35p
0.000896,p35p
0.002765,p35p
0.003472,p35p
0.003006,p35p
0.000511,p35p
0.004485,p35p
0.003921,p35p
0.003317,p35p
0.001795,p35p
0.001920,p35p
0.001116,p35p
0.001189,p35p
0.001153,p35p
0.001175,p35p
0.002650,p35p
15.801447,p35p
0.002040,p35p
0.001917,p35p
0.001025,p35p
0.002059,p35p
0.000722,p35p
0.000771,p35p
0.000459,p35p
0.000965,p35p
0.001245,p35p
0.000908,p35p
0.001262,p35p
0.001620,p35p
0.001307,p35p
0.001496,p35p
0.003234,p35p
0.001324,p35p
0.000543,p4p
0.000937,p4p
0.000702,p4p
0.001051,p4p
0.000802,p4p
0.000626,p4p
0.000776,p4p
0.002410,p4p
0.003317,p4p
0.003073,p4p
0.000544,p4p
0.004051,p4p
0.003265,p4p
0.002567,p4p
0.001407,p4p
0.001775,p4p
0.000959,p4p
0.000761,p4p
0.000433,p4p
0.000289,p4p
0.004795,p4p
0.213075,p4p
0.002481,p4p
0.001831,p4p
0.000947,p4p
0.001892,p4p
0.000626,p4p
0.000657,p4p
0.000840,p4p
0.000793,p4p
0.001345,p4p
0.000777,p4p
0.001512,p4p
0.001689,p4p
0.001466,p4p
0.001632,p4p
0.002364,p4p
0.001422,p4p
0.000559,real
0.000824,real
0.000524,real
0.000903,real
0.000614,real
0.000628,real
0.000783,real
0.002252,real
0.003136,real
0.002838,real
0.000575,real
0.004396,real
0.003705,real
0.002158,real
0.001502,real
0.001930,real
0.001097,real
0.001018,real
0.000779,real
0.000638,real
0.001707,real
0.004059,real
0.004097,real
0.001842,real
0.000953,real
0.001874,real
0.000631,real
0.000666,real
0.000856,real
0.000764,real
0.001333,real
0.000820,real
0.001458,real
0.001669,real
0.001455,real
0.001590,real
0.002156,real
0.001438,real
