R,t,algo
0.000858,0.018625,p35p
0.000732,0.014070,p35p
0.005075,0.966380,p35p
0.006668,0.448513,p35p
0.002930,0.537163,p35p
0.000530,0.007107,p35p
0.000526,0.007296,p35p
0.001048,0.010308,p35p
0.001192,0.011840,p35p
0.001288,0.014130,p35p
0.000519,0.021370,p35p
0.000433,0.015106,p35p
0.001041,0.060040,p35p
0.000874,0.050268,p35p
0.001335,0.044838,p35p
0.001563,0.042488,p35p
0.001628,0.034429,p35p
0.001880,0.021233,p35p
0.002008,0.008928,p35p
0.002090,0.007485,p35p
0.003025,0.081812,p35p
0.000149,0.087010,p35p
0.000428,0.092706,p35p
0.000774,0.017732,p35p
0.000799,0.018491,p35p
0.001147,0.079875,p35p
0.000391,0.033224,p35p
0.000436,0.029712,p35p
0.000347,0.012689,p35p
0.000477,0.015973,p35p
0.000248,0.017311,p35p
0.000533,0.038395,p35p
0.000637,0.031534,p35p
0.000464,0.024386,p35p
0.000977,0.078427,p35p
0.001153,0.076673,p35p
0.001219,0.078230,p35p
0.000177,0.076850,p35p
0.000859,0.018641,p4p
0.000733,0.014088,p4p
0.005075,0.966325,p4p
0.006668,0.448568,p4p
0.002931,0.537231,p4p
0.000528,0.007038,p4p
0.000524,0.007219,p4p
0.001047,0.010299,p4p
0.001191,0.011831,p4p
0.001287,0.014102,p4p
0.000514,0.021292,p4p
0.000435,0.015030,p4p
0.001039,0.059929,p4p
0.000873,0.050279,p4p
0.001329,0.044903,p4p
0.001557,0.042561,p4p
0.001621,0.034489,p4p
0.001871,0.021325,p4p
0.001998,0.008986,p4p
0.002081,0.007319,p4p
0.003020,0.081695,p4p
0.000149,0.086690,p4p
0.000432,0.092612,p4p
0.000775,0.017806,p4p
0.000798,0.018525,p4p
0.001144,0.079864,p4p
0.000388,0.033224,p4p
0.000433,0.029740,p4p
0.000350,0.012645,p4p
0.000478,0.016002,p4p
0.000251,0.017338,p4p
0.000529,0.038396,p4p
0.000633,0.031453,p4p
0.000465,0.024340,p4p
0.000977,0.078414,p4p
0.001151,0.076630,p4p
0.001217,0.078186,p4p
0.000176,0.076784,p4p
0.000765,0.021756,real
0.000640,0.017398,real
0.005100,0.962334,real
0.006588,0.452587,real
0.003016,0.541507,real
0.000442,0.007469,real
0.000442,0.006393,real
0.001008,0.007834,real
0.001155,0.009197,real
0.001251,0.010885,real
0.000423,0.017771,real
0.000524,0.010920,real
0.000979,0.055843,real
0.000792,0.046694,real
0.001315,0.042162,real
0.001481,0.043859,real
0.001597,0.035346,real
0.001783,0.028129,real
0.001815,0.023587,real
0.001798,0.019438,real
0.001989,0.035572,real
0.002215,0.042528,real
0.003772,0.104907,real
0.000691,0.021467,real
0.000715,0.022076,real
0.001107,0.083327,real
0.000315,0.035793,real
0.000364,0.032018,real
0.000414,0.011516,real
0.000437,0.016612,real
0.000340,0.016636,real
0.000448,0.040586,real
0.000594,0.034473,real
0.000509,0.024320,real
0.000829,0.074050,real
0.001030,0.073770,real
0.001122,0.076401,real
0.000163,0.078444,real
