f,algo
0.000526,p35p
0.000726,p35p
0.000422,p35p
0.000801,p35p
0.000512,p35p
0.000591,p35p
0.000745,p35p
0.002155,p35p
0.003036,p35p
0.002736,p35p
0.000618,p35p
0.004381,p35p
0.003686,p35p
0.002143,p35p
0.001401,p35p
0.001586,p35p
0.000767,p35p
0.000389,p35p
0.000163,p35p
0.000647,p35p
0.000974,p35p
0.007538,p35p
0.007738,p35p
0.001801,p35p
0.000924,p35p
0.001798,p35p
0.000595,p35p
0.000634,p35p
0.000865,p35p
0.000749,p35p
0.001355,p35p
0.000836,p35p
0.001429,p35p
0.001651,p35p
0.001493,p35p
0.001622,p35p
0.002247,p35p
0.001429,p35p
0.000526,p4p
0.000741,p4p
0.000430,p4p
0.000814,p4p
0.000521,p4p
0.000595,p4p
0.000749,p4p
0.002161,p4p
0.003042,p4p
0.002743,p4p
0.000616,p4p
0.004381,p4p
0.003676,p4p
0.002148,p4p
0.001399,p4p
0.001583,p4p
0.000760,p4p
0.000381,p4p
0.000169,p4p
0.000654,p4p
0.000969,p4p
0.007554,p4p
0.007700,p4p
0.001806,p4p
0.000924,p4p
0.001798,p4p
0.000597,p4p
0.000635,p4p
0.000870,p4p
0.000755,p4p
0.001354,p4p
0.000833,p4p
0.001420,p4p
0.001653,p4p
0.001493,p4p
0.001622,p4p
0.002247,p4p
0.001428,p4p
0.000559,real
0.000824,real
0.000524,real
0.000903,real
0.000614,real
0.000628,real
0.000783,real
0.002252,real
0.003136,real
0.002838,real
0.000575,real
0.004396,real
0.003705,real
0.002158,real
0.001502,real
0.001930,real
0.001097,real
0.001018,real
0.000779,real
0.000638,real
0.001707,real
0.004059,real
0.004097,real
0.001842,real
0.000953,real
0.001874,real
0.000631,real
0.000666,real
0.000856,real
0.000764,real
0.001333,real
0.000820,real
0.001458,real
0.001669,real
0.001455,real
0.001590,real
0.002156,real
0.001438,real
