R,t,algo
0.092658,0.001240,p35p
0.110517,0.000940,p35p
0.621196,0.062885,p35p
0.810331,0.029209,p35p
0.352015,0.034975,p35p
0.113950,0.000477,p35p
0.062637,0.000486,p35p
0.158315,0.000665,p35p
0.125846,0.000766,p35p
0.175600,0.000918,p35p
0.050682,0.001401,p35p
0.061832,0.000990,p35p
0.138096,0.003913,p35p
0.067429,0.003273,p35p
0.151633,0.002919,p35p
0.178833,0.002764,p35p
0.223787,0.002239,p35p
0.234644,0.001378,p35p
0.272590,0.000575,p35p
0.267602,0.000499,p35p
0.366301,0.005336,p35p
0.086328,0.005668,p35p
0.093537,0.006035,p35p
0.069888,0.001160,p35p
0.101917,0.001230,p35p
0.117805,0.005227,p35p
0.036919,0.002180,p35p
0.002229,0.001946,p35p
0.062188,0.000810,p35p
0.034828,0.001019,p35p
0.071160,0.001117,p35p
0.100883,0.002515,p35p
0.090936,0.002074,p35p
0.073969,0.001601,p35p
0.075358,0.005069,p35p
0.164293,0.004985,p35p
0.135951,0.005442,p35p
0.046696,0.005038,p35p
0.092510,0.001213,p4p
0.110455,0.000917,p4p
0.620998,0.062892,p4p
0.810432,0.029195,p4p
0.352136,0.034965,p4p
0.113630,0.000458,p4p
0.061872,0.000470,p4p
0.157968,0.000670,p4p
0.125376,0.000770,p4p
0.175306,0.000918,p4p
0.058408,0.001386,p4p
0.025534,0.000978,p4p
0.162536,0.003900,p4p
0.106482,0.003272,p4p
0.162791,0.002922,p4p
0.204418,0.002770,p4p
0.182802,0.002245,p4p
0.192401,0.001388,p4p
0.220226,0.000585,p4p
0.279384,0.000476,p4p
0.361610,0.005317,p4p
0.104560,0.005642,p4p
0.081470,0.006028,p4p
0.061194,0.001159,p4p
0.101159,0.001206,p4p
0.116185,0.005198,p4p
0.027714,0.002162,p4p
0.039563,0.001936,p4p
0.053810,0.000823,p4p
0.021527,0.001041,p4p
0.045086,0.001128,p4p
0.101439,0.002499,p4p
0.092279,0.002047,p4p
0.069206,0.001584,p4p
0.130587,0.005103,p4p
0.129950,0.004987,p4p
0.149567,0.005089,p4p
0.032973,0.004997,p4p
0.079791,0.001417,real
0.101808,0.001135,real
0.624052,0.062616,real
0.800926,0.029453,real
0.362275,0.035239,real
0.108295,0.000486,real
0.051842,0.000415,real
0.154212,0.000511,real
0.120570,0.000599,real
0.171604,0.000708,real
0.045122,0.001149,real
0.038859,0.000705,real
0.154073,0.003631,real
0.087424,0.003035,real
0.167170,0.002739,real
0.161561,0.002857,real
0.203408,0.002299,real
0.191924,0.001838,real
0.214330,0.001555,real
0.228855,0.001303,real
0.250307,0.002348,real
0.299747,0.002639,real
0.448101,0.006822,real
0.035738,0.001400,real
0.090521,0.001439,real
0.117010,0.005430,real
0.025021,0.002336,real
0.046341,0.002089,real
0.056595,0.000747,real
0.031496,0.001082,real
0.081418,0.001078,real
0.094989,0.002649,real
0.089437,0.002249,real
0.086987,0.001584,real
0.130876,0.004818,real
0.096875,0.004800,real
0.110770,0.004969,real
0.046069,0.005114,real
