f,algo
0.000526,p35p
0.000723,p35p
0.000419,p35p
0.000798,p35p
0.000509,p35p
0.000591,p35p
0.000745,p35p
0.002153,p35p
0.003034,p35p
0.002734,p35p
0.000619,p35p
0.004378,p35p
0.003682,p35p
0.002148,p35p
0.001405,p35p
0.001590,p35p
0.000771,p35p
0.000392,p35p
0.000158,p35p
0.000642,p35p
0.000971,p35p
0.007533,p35p
0.007750,p35p
0.001801,p35p
0.000924,p35p
0.001796,p35p
0.000595,p35p
0.000634,p35p
0.000864,p35p
0.000751,p35p
0.001348,p35p
0.000845,p35p
0.001420,p35p
0.001659,p35p
0.001490,p35p
0.001625,p35p
0.002971,p35p
0.001418,p35p
0.000526,p4p
0.000741,p4p
0.000430,p4p
0.000814,p4p
0.000521,p4p
0.000595,p4p
0.000749,p4p
0.002161,p4p
0.003042,p4p
0.002743,p4p
0.000616,p4p
0.004381,p4p
0.003676,p4p
0.002148,p4p
0.001399,p4p
0.001583,p4p
0.000760,p4p
0.000381,p4p
0.000169,p4p
0.000654,p4p
0.000969,p4p
0.007554,p4p
0.007700,p4p
0.001806,p4p
0.000924,p4p
0.001798,p4p
0.000597,p4p
0.000635,p4p
0.000870,p4p
0.000755,p4p
0.001354,p4p
0.000833,p4p
0.001420,p4p
0.001653,p4p
0.001493,p4p
0.001622,p4p
0.002247,p4p
0.001428,p4p
0.000559,real
0.000824,real
0.000522,real
0.000903,real
0.000614,real
0.000626,real
0.000783,real
0.002252,real
0.003136,real
0.002838,real
0.000575,real
0.004400,real
0.003713,real
0.002155,real
0.001505,real
0.001939,real
0.001107,real
0.001034,real
0.000802,real
0.000669,real
0.001686,real
0.004461,real
0.004156,real
0.001842,real
0.000953,real
0.001873,real
0.000632,real
0.000667,real
0.000852,real
0.000770,real
0.001336,real
0.000823,real
0.001455,real
0.001666,real
0.001456,real
0.001591,real
0.002156,real
0.001437,real
