R,t,algo
17.027297,0.468588,p35p
18.539104,0.589063,p35p
19.981436,0.849321,p35p
20.310612,1.158283,p35p
10.013852,3.708594,p35p
3.956164,4.024280,p35p
4.304870,4.072031,p35p
0.046999,0.005558,p4p
0.038086,0.009417,p4p
1.607997,0.537855,p4p
2.092891,0.250047,p4p
0.371564,0.249016,p4p
0.063527,0.016591,p4p
0.095154,0.017201,p4p
0.038860,0.016870,p4p
0.057299,0.016683,p4p
0.085999,0.016324,p4p
0.109367,0.013308,p4p
0.024602,0.013110,p4p
0.028217,0.012966,p4p
0.029402,0.013213,p4p
0.060774,0.012786,p4p
0.089321,0.012167,p4p
0.013055,0.011874,p4p
0.079872,0.011093,p4p
0.049685,0.019926,p4p
0.065798,0.018701,p4p
0.024498,0.019649,p4p
0.064418,0.017424,p4p
0.136456,0.016008,p4p
0.059390,0.014357,p4p
0.098180,0.012950,p4p
0.082681,0.012440,p4p
0.101655,0.009997,p4p
0.152851,0.009225,p4p
0.182872,0.016720,p4p
0.118128,0.014601,p4p
0.034399,0.013783,p4p
0.063915,0.005812,p4p
0.215722,0.006521,p4p
0.147191,0.014356,p4p
0.096413,0.019664,p4p
0.081562,0.021983,p4p
0.193909,0.014390,p4p
0.171721,0.012300,p4p
0.194632,0.010833,p4p
0.177839,0.010408,p4p
0.088509,0.007199,p4p
0.016186,0.003676,p4p
0.095310,0.002884,p4p
0.045106,0.008345,p4p
0.786179,0.545191,real
0.800323,0.489325,real
2.439402,1.351791,real
1.261974,1.172020,real
1.186756,1.106468,real
0.792329,0.276566,real
0.799746,0.241733,real
0.795904,0.205551,real
0.806827,0.184445,real
0.823275,0.179553,real
0.758036,0.159872,real
0.730912,0.145755,real
0.702531,0.089391,real
0.679698,0.084838,real
0.671812,0.094394,real
0.628045,0.113336,real
0.553138,0.127059,real
0.418845,0.135003,real
0.429829,0.141684,real
0.423788,0.150674,real
0.416963,0.159484,real
0.439214,0.169107,real
0.397783,0.182113,real
0.391856,0.195438,real
0.351443,0.206411,real
0.357630,0.217121,real
0.334332,0.227127,real
0.241718,0.223140,real
0.194236,0.223830,real
0.191565,0.226443,real
0.177979,0.185132,real
20.201856,8.454460,real
2.002172,3.382303,real
0.211095,0.203233,real
0.216929,0.205274,real
0.585699,0.322254,real
0.645785,0.356332,real
0.672449,0.387001,real
0.694630,0.400080,real
0.349546,0.232688,real
0.310066,0.252442,real
0.315829,0.263533,real
0.341109,0.225664,real
