R,t,algo
0.297182,0.468588,p35p
0.323568,0.589063,p35p
0.348742,0.849321,p35p
0.354487,1.158283,p35p
0.174775,3.708594,p35p
0.069048,4.024280,p35p
0.075134,4.072031,p35p
0.000820,0.005558,p4p
0.000665,0.009417,p4p
0.028065,0.537855,p4p
0.036528,0.250047,p4p
0.006485,0.249016,p4p
0.001109,0.016591,p4p
0.001661,0.017201,p4p
0.000678,0.016870,p4p
0.001000,0.016683,p4p
0.001501,0.016324,p4p
0.001909,0.013308,p4p
0.000429,0.013110,p4p
0.000492,0.012966,p4p
0.000513,0.013213,p4p
0.001061,0.012786,p4p
0.001559,0.012167,p4p
0.000228,0.011874,p4p
0.001394,0.011093,p4p
0.000867,0.019926,p4p
0.001148,0.018701,p4p
0.000428,0.019649,p4p
0.001124,0.017424,p4p
0.002382,0.016008,p4p
0.001037,0.014357,p4p
0.001714,0.012950,p4p
0.001443,0.012440,p4p
0.001774,0.009997,p4p
0.002668,0.009225,p4p
0.003192,0.016720,p4p
0.002062,0.014601,p4p
0.000600,0.013783,p4p
0.001116,0.005812,p4p
0.003765,0.006521,p4p
0.002569,0.014356,p4p
0.001683,0.019664,p4p
0.001424,0.021983,p4p
0.003384,0.014390,p4p
0.002997,0.012300,p4p
0.003397,0.010833,p4p
0.003104,0.010408,p4p
0.001545,0.007199,p4p
0.000283,0.003676,p4p
0.001663,0.002884,p4p
0.000787,0.008345,p4p
0.013721,0.545191,real
0.013968,0.489325,real
0.042576,1.351791,real
0.022026,1.172020,real
0.020713,1.106468,real
0.013829,0.276566,real
0.013958,0.241733,real
0.013891,0.205551,real
0.014082,0.184445,real
0.014369,0.179553,real
0.013230,0.159872,real
0.012757,0.145755,real
0.012261,0.089391,real
0.011863,0.084838,real
0.011725,0.094394,real
0.010961,0.113336,real
0.009654,0.127059,real
0.007310,0.135003,real
0.007502,0.141684,real
0.007396,0.150674,real
0.007277,0.159484,real
0.007666,0.169107,real
0.006943,0.182113,real
0.006839,0.195438,real
0.006134,0.206411,real
0.006242,0.217121,real
0.005835,0.227127,real
0.004219,0.223140,real
0.003390,0.223830,real
0.003343,0.226443,real
0.003106,0.185132,real
0.352589,8.454460,real
0.034944,3.382303,real
0.003684,0.203233,real
0.003786,0.205274,real
0.010222,0.322254,real
0.011271,0.356332,real
0.011736,0.387001,real
0.012124,0.400080,real
0.006101,0.232688,real
0.005412,0.252442,real
0.005512,0.263533,real
0.005953,0.225664,real
