f,algo
274.583619,p35p
20.482356,p35p
63.323516,p35p
0.339226,p35p
0.323145,p35p
0.322095,p35p
0.333947,p35p
1.366619,p35p
0.198776,p35p
169.919815,p35p
0.285762,p35p
0.319710,p35p
0.002199,p4p
0.002202,p4p
0.001151,p4p
0.001792,p4p
0.001471,p4p
0.001813,p4p
0.001933,p4p
0.001281,p4p
0.001572,p4p
0.002611,p4p
0.002018,p4p
0.000864,p4p
0.000710,p4p
0.000710,p4p
0.000876,p4p
0.001433,p4p
0.002646,p4p
0.004681,p4p
0.002489,p4p
0.001842,p4p
0.002642,p4p
0.001787,p4p
0.001556,p4p
0.000581,p4p
0.000116,p4p
0.000336,p4p
0.001951,p4p
0.001812,p4p
0.000890,p4p
0.000261,p4p
0.002238,p4p
0.000543,p4p
0.004550,p4p
0.009976,p4p
0.002690,p4p
0.001197,p4p
0.000723,p4p
0.000983,p4p
0.001103,p4p
0.001047,p4p
0.001339,p4p
0.001790,p4p
0.002287,p4p
0.000788,p4p
0.002881,real
0.002574,real
0.001955,real
0.002263,real
0.002078,real
0.002519,real
0.002489,real
0.001364,real
0.001621,real
0.002646,real
0.001904,real
0.000799,real
0.000835,real
0.000830,real
0.001385,real
0.002269,real
0.002096,real
0.000909,real
0.001259,real
0.000984,real
0.000934,real
0.001036,real
0.000421,real
0.000332,real
0.000315,real
0.000700,real
0.000243,real
0.000890,real
0.001490,real
0.003036,real
0.002567,real
0.822036,real
0.474002,real
0.001845,real
0.002034,real
0.002117,real
0.001945,real
0.001527,real
0.001087,real
0.002545,real
0.003140,real
0.003746,real
0.001924,real
