R,t,algo
45.577608,1.530259,p35p
49.156714,1.582466,p35p
32.584222,4.881155,p35p
17.027297,0.468588,p35p
18.539104,0.589063,p35p
19.981436,0.849321,p35p
20.310612,1.158283,p35p
10.517737,1.516575,p35p
10.013852,3.708594,p35p
36.729654,14.929350,p35p
3.956164,4.024280,p35p
4.304870,4.072031,p35p
0.065090,0.007106,p4p
0.114004,0.009284,p4p
1.616450,0.537254,p4p
2.079181,0.250758,p4p
0.384166,0.249783,p4p
0.098740,0.016340,p4p
0.101595,0.017103,p4p
0.076872,0.017187,p4p
0.056233,0.017241,p4p
0.025889,0.017138,p4p
0.100668,0.014621,p4p
0.053276,0.014699,p4p
0.045733,0.014771,p4p
0.045922,0.015192,p4p
0.070641,0.014956,p4p
0.092262,0.014705,p4p
0.023442,0.014364,p4p
0.047806,0.013077,p4p
0.108665,0.023048,p4p
0.127078,0.044275,p4p
0.009970,0.020136,p4p
0.091146,0.015399,p4p
0.145174,0.014549,p4p
0.072266,0.013492,p4p
0.111119,0.012505,p4p
0.039447,0.012221,p4p
0.082263,0.010544,p4p
0.129788,0.009686,p4p
0.176871,0.016783,p4p
0.041966,0.014772,p4p
0.101476,0.014446,p4p
0.136775,0.006839,p4p
0.182109,0.005938,p4p
0.127240,0.012017,p4p
0.103848,0.019837,p4p
0.070690,0.022512,p4p
0.203194,0.015062,p4p
0.169531,0.012293,p4p
0.169936,0.010397,p4p
0.185805,0.009792,p4p
0.094753,0.007208,p4p
0.036106,0.003950,p4p
0.114969,0.003109,p4p
0.040844,0.008356,p4p
0.786178,0.545191,real
0.800323,0.489325,real
2.439402,1.351791,real
1.261974,1.172020,real
1.186756,1.106468,real
0.792329,0.276566,real
0.799746,0.241733,real
0.795904,0.205551,real
0.806827,0.184445,real
0.823275,0.179553,real
0.758036,0.159872,real
0.730912,0.145755,real
0.702531,0.089391,real
0.679697,0.084838,real
0.671812,0.094394,real
0.628045,0.113336,real
0.553138,0.127059,real
0.418845,0.135003,real
0.429829,0.141684,real
0.423788,0.150674,real
0.416963,0.159484,real
0.439214,0.169107,real
0.397783,0.182113,real
0.391856,0.195438,real
0.351443,0.206411,real
0.357629,0.217121,real
0.334332,0.227127,real
0.241718,0.223140,real
0.194236,0.223830,real
0.191565,0.226443,real
0.177979,0.185132,real
20.201855,8.454460,real
2.002172,3.382303,real
0.211095,0.203233,real
0.216929,0.205274,real
0.585699,0.322254,real
0.645785,0.356332,real
0.672449,0.387001,real
0.694630,0.400080,real
0.349546,0.232688,real
0.310066,0.252442,real
0.315829,0.263533,real
0.341109,0.225664,real
