f,algo
274.583619,p35p
20.482356,p35p
63.323516,p35p
0.339226,p35p
0.323145,p35p
0.322095,p35p
0.333947,p35p
1.366619,p35p
0.198776,p35p
169.919815,p35p
0.285762,p35p
0.319710,p35p
0.001879,p4p
0.002137,p4p
0.001187,p4p
0.001813,p4p
0.001245,p4p
0.001958,p4p
0.001973,p4p
0.001063,p4p
0.001322,p4p
0.002385,p4p
0.001611,p4p
0.000510,p4p
0.000629,p4p
0.000383,p4p
0.000832,p4p
0.001976,p4p
0.003196,p4p
0.005037,p4p
0.003541,p4p
0.006872,p4p
0.001895,p4p
0.001408,p4p
0.001347,p4p
0.000246,p4p
0.000172,p4p
0.000153,p4p
0.001418,p4p
0.001398,p4p
0.001116,p4p
0.000449,p4p
0.002793,p4p
0.000433,p4p
0.004217,p4p
0.008456,p4p
0.002486,p4p
0.001396,p4p
0.000764,p4p
0.000840,p4p
0.000940,p4p
0.000870,p4p
0.001307,p4p
0.001675,p4p
0.002026,p4p
0.000832,p4p
0.002881,real
0.002574,real
0.001955,real
0.002263,real
0.002078,real
0.002519,real
0.002489,real
0.001364,real
0.001621,real
0.002646,real
0.001904,real
0.000799,real
0.000835,real
0.000830,real
0.001385,real
0.002269,real
0.002096,real
0.000909,real
0.001259,real
0.000984,real
0.000934,real
0.001036,real
0.000421,real
0.000332,real
0.000315,real
0.000700,real
0.000243,real
0.000890,real
0.001490,real
0.003036,real
0.002567,real
0.822036,real
0.474002,real
0.001845,real
0.002034,real
0.002117,real
0.001945,real
0.001527,real
0.001087,real
0.002545,real
0.003140,real
0.003746,real
0.001924,real
