f,algo
0.002166,p35p
0.002054,p35p
0.001521,p35p
0.001839,p35p
0.001652,p35p
0.002400,p35p
0.002277,p35p
0.001314,p35p
0.001261,p35p
0.002319,p35p
0.001269,p35p
2.340633,p35p
3.041901,p35p
3.385484,p35p
0.128744,p35p
0.060961,p35p
0.006428,p35p
0.003236,p35p
0.002516,p35p
0.002084,p35p
0.002083,p35p
0.002045,p35p
0.002381,p35p
0.002089,p35p
0.002027,p35p
0.001872,p35p
0.001885,p35p
0.001665,p35p
0.001606,p35p
0.001061,p35p
0.002813,p35p
0.000418,p35p
0.001159,p35p
0.001385,p35p
0.001168,p35p
0.001049,p35p
0.499683,p35p
0.394726,p35p
3.425692,p35p
4.998521,p35p
0.002156,p35p
0.002209,p35p
0.002211,p35p
0.001944,p35p
0.002464,p4p
0.002357,p4p
0.001432,p4p
0.002076,p4p
0.001756,p4p
0.001779,p4p
0.001847,p4p
0.001473,p4p
0.002001,p4p
0.003138,p4p
0.002378,p4p
0.001432,p4p
0.000733,p4p
0.001197,p4p
0.000858,p4p
0.001219,p4p
0.002158,p4p
0.004170,p4p
0.002241,p4p
0.002144,p4p
0.001608,p4p
0.001228,p4p
0.001272,p4p
0.000640,p4p
0.000506,p4p
0.000466,p4p
0.001658,p4p
0.001245,p4p
0.000301,p4p
0.001030,p4p
0.004224,p4p
0.000780,p4p
0.002535,p4p
0.001726,p4p
0.002903,p4p
0.001436,p4p
0.000681,p4p
0.000939,p4p
0.001078,p4p
0.001055,p4p
0.001974,p4p
0.002636,p4p
0.003328,p4p
0.001388,p4p
0.002881,real
0.002574,real
0.001955,real
0.002263,real
0.002078,real
0.002519,real
0.002489,real
0.001364,real
0.001621,real
0.002646,real
0.001904,real
0.000799,real
0.000835,real
0.000830,real
0.001385,real
0.002269,real
0.002096,real
0.000909,real
0.001259,real
0.000984,real
0.000934,real
0.001036,real
0.000421,real
0.000332,real
0.000315,real
0.000700,real
0.000243,real
0.000890,real
0.001490,real
0.003036,real
0.002567,real
0.822036,real
0.474002,real
0.001845,real
0.002034,real
0.002117,real
0.001945,real
0.001527,real
0.001087,real
0.002545,real
0.003140,real
0.003746,real
0.001924,real
