R,t,algo
0.013078,1.066676,p35p
0.013031,1.063200,p35p
0.024689,2.482283,p35p
0.010676,0.723972,p35p
0.016202,0.670018,p35p
0.013073,1.074881,p35p
0.013148,1.073929,p35p
0.013319,1.070729,p35p
0.013453,1.071501,p35p
0.013558,1.069044,p35p
0.013031,1.036269,p35p
0.451509,33.032448,p35p
0.012892,1.015313,p35p
0.012848,0.999510,p35p
0.012804,0.988014,p35p
0.012770,0.971199,p35p
0.012864,0.956389,p35p
0.013391,0.942760,p35p
0.013188,0.933196,p35p
0.013353,0.933346,p35p
0.013395,0.936549,p35p
0.013481,0.946258,p35p
0.013649,0.958716,p35p
0.013483,0.969353,p35p
0.013489,0.980266,p35p
0.013450,0.988197,p35p
0.013569,1.001797,p35p
0.013366,1.015807,p35p
0.012376,1.045601,p35p
0.012588,1.058429,p35p
0.012917,1.068096,p35p
0.013606,1.082048,p35p
0.014072,1.075004,p35p
0.013252,1.080581,p35p
0.012909,1.043176,p35p
0.012786,1.022964,p35p
0.013877,1.001861,p35p
0.171284,10.119658,p35p
0.129060,13.272644,p35p
0.133734,13.614140,p35p
0.013374,1.049465,p35p
0.013305,1.072556,p35p
0.013270,1.089114,p35p
0.013370,1.037811,p35p
0.000339,0.014692,p4p
0.000353,0.028099,p4p
0.013258,1.741609,p4p
0.017250,0.812014,p4p
0.003017,0.807897,p4p
0.000325,0.053973,p4p
0.000340,0.056689,p4p
0.000551,0.056017,p4p
0.000657,0.055953,p4p
0.000871,0.055335,p4p
0.000585,0.046913,p4p
0.000551,0.046139,p4p
0.000580,0.045463,p4p
0.000561,0.045763,p4p
0.000586,0.044418,p4p
0.000507,0.038813,p4p
0.000484,0.039622,p4p
0.000786,0.034635,p4p
0.000480,0.058114,p4p
0.000441,0.060463,p4p
0.000507,0.060234,p4p
0.000595,0.057510,p4p
0.000750,0.054511,p4p
0.000616,0.049894,p4p
0.000568,0.045952,p4p
0.000504,0.044137,p4p
0.000615,0.035283,p4p
0.000447,0.033536,p4p
0.001013,0.052895,p4p
0.000978,0.049159,p4p
0.000969,0.052030,p4p
0.000529,0.020524,p4p
0.001085,0.014823,p4p
0.000667,0.024581,p4p
0.000624,0.066584,p4p
0.000709,0.074538,p4p
0.001519,0.044801,p4p
0.001298,0.037372,p4p
0.001315,0.032344,p4p
0.001337,0.030999,p4p
0.000526,0.024037,p4p
0.000529,0.011658,p4p
0.000542,0.010416,p4p
0.000499,0.028405,p4p
0.011010,1.343273,real
0.011047,1.313868,real
0.024548,2.322640,real
0.006075,1.600407,real
0.014157,1.566108,real
0.011055,1.229512,real
0.011119,1.213889,real
0.011356,1.189839,real
0.011420,1.165748,real
0.011455,1.149072,real
0.011413,1.131867,real
0.011280,1.140592,real
0.444379,53.907051,real
0.011077,1.204927,real
0.010535,1.321938,real
0.010986,1.343390,real
0.011336,1.365567,real
0.011476,1.368358,real
0.011570,1.376298,real
0.011656,1.381385,real
0.011837,1.395929,real
0.011741,1.405940,real
0.011748,1.429970,real
0.011677,1.447075,real
0.011684,1.455488,real
0.011530,1.465477,real
0.010359,1.466699,real
0.010383,1.434693,real
0.010558,1.387939,real
0.011550,1.332137,real
0.012050,1.310037,real
0.011205,1.298986,real
0.010714,1.374519,real
0.010567,1.434598,real
0.010947,1.269827,real
0.011514,1.224215,real
0.011799,1.182769,real
0.012061,1.158246,real
0.011724,1.411199,real
0.011644,1.467874,real
0.011614,1.507527,real
0.011676,1.409328,real
