R,t,algo
1.590590,0.359321,p35p
1.585410,0.358150,p35p
3.001221,0.836183,p35p
1.295853,0.243878,p35p
1.968926,0.225703,p35p
1.589099,0.362085,p35p
1.600150,0.361765,p35p
1.616721,0.360686,p35p
1.635729,0.360947,p35p
1.647968,0.360119,p35p
1.585368,0.349078,p35p
57.226833,11.127332,p35p
1.565092,0.342019,p35p
1.559720,0.336696,p35p
1.554908,0.332823,p35p
1.550468,0.327159,p35p
1.562077,0.322170,p35p
1.626390,0.317579,p35p
1.602189,0.314357,p35p
1.624298,0.314408,p35p
1.626456,0.315486,p35p
1.634007,0.318757,p35p
1.660042,0.322954,p35p
1.634937,0.326537,p35p
1.644560,0.330213,p35p
1.631356,0.332885,p35p
1.651877,0.337466,p35p
1.629363,0.342185,p35p
1.508914,0.352222,p35p
1.526868,0.356543,p35p
1.567787,0.359800,p35p
1.655754,0.364500,p35p
1.709352,0.362127,p35p
1.615256,0.364005,p35p
1.566487,0.351405,p35p
1.551218,0.344596,p35p
1.685212,0.337487,p35p
20.934621,3.408914,p35p
15.735653,4.471031,p35p
16.309726,4.586068,p35p
1.625364,0.353523,p35p
1.611575,0.361302,p35p
1.611100,0.366880,p35p
1.623752,0.349598,p35p
0.082764,0.004536,p4p
0.112762,0.008675,p4p
1.609848,0.537716,p4p
2.097800,0.250707,p4p
0.373597,0.249435,p4p
0.048994,0.016664,p4p
0.138989,0.017502,p4p
0.034645,0.017295,p4p
0.025749,0.017275,p4p
0.108832,0.017084,p4p
0.086872,0.014484,p4p
0.057202,0.014245,p4p
0.025739,0.014036,p4p
0.049801,0.014129,p4p
0.051157,0.013714,p4p
0.059488,0.011983,p4p
0.054547,0.012233,p4p
0.093644,0.010693,p4p
0.058450,0.017942,p4p
0.065120,0.018668,p4p
0.008171,0.018597,p4p
0.046506,0.017756,p4p
0.127559,0.016830,p4p
0.068613,0.015405,p4p
0.100720,0.014188,p4p
0.109055,0.013627,p4p
0.070373,0.010893,p4p
0.106490,0.010354,p4p
0.191923,0.016331,p4p
0.123716,0.015178,p4p
0.141015,0.016064,p4p
0.138111,0.006337,p4p
0.148426,0.004576,p4p
0.170754,0.007589,p4p
0.086987,0.020558,p4p
0.079652,0.023013,p4p
0.163190,0.013832,p4p
0.165710,0.011538,p4p
0.181097,0.009986,p4p
0.164276,0.009571,p4p
0.067167,0.007421,p4p
0.088610,0.003599,p4p
0.033648,0.003216,p4p
0.060082,0.008770,p4p
1.342655,0.700747,real
1.347699,0.685408,real
2.981666,1.211655,real
0.744223,0.834886,real
1.720855,0.816994,real
1.346434,0.641401,real
1.353527,0.633251,real
1.373889,0.620705,real
1.388251,0.608137,real
1.391618,0.599438,real
1.391402,0.590463,real
1.368103,0.595014,real
56.241912,28.121766,real
1.345798,0.628576,real
1.278530,0.689617,real
1.334974,0.700808,real
1.375462,0.712377,real
1.395009,0.713833,real
1.404723,0.717975,real
1.415204,0.720629,real
1.440881,0.728216,real
1.426647,0.733438,real
1.428838,0.745974,real
1.414655,0.754898,real
1.419753,0.759287,real
1.404488,0.764497,real
1.264014,0.765135,real
1.260563,0.748438,real
1.283082,0.724048,real
1.401701,0.694938,real
1.459887,0.683409,real
1.371924,0.677644,real
1.304712,0.717047,real
1.280409,0.748389,real
1.327385,0.662433,real
1.402957,0.638638,real
1.436854,0.617017,real
1.470695,0.604224,real
1.424978,0.736182,real
1.411234,0.765748,real
1.411178,0.786434,real
1.416890,0.735206,real
