f,algo
0.002235,p35p
0.002100,p35p
0.001137,p35p
0.001806,p35p
0.001476,p35p
0.001066,p35p
0.001151,p35p
0.000745,p35p
0.001127,p35p
0.002249,p35p
0.002517,p35p
8.249016,p35p
0.000155,p35p
0.000425,p35p
0.000789,p35p
0.001396,p35p
0.003377,p35p
0.005242,p35p
0.001261,p35p
0.001285,p35p
0.001546,p35p
0.001652,p35p
0.001611,p35p
0.000719,p35p
0.000245,p35p
0.000483,p35p
0.001976,p35p
0.001547,p35p
0.000716,p35p
0.001396,p35p
0.004618,p35p
0.000468,p35p
0.002304,p35p
0.001484,p35p
0.003148,p35p
0.001567,p35p
0.001770,p35p
0.927083,p35p
3.244323,p35p
4.477301,p35p
0.001493,p35p
0.002067,p35p
0.002693,p35p
0.000940,p35p
0.002464,p4p
0.002357,p4p
0.001432,p4p
0.002076,p4p
0.001756,p4p
0.001779,p4p
0.001847,p4p
0.001473,p4p
0.002001,p4p
0.003138,p4p
0.002378,p4p
0.001432,p4p
0.000733,p4p
0.001197,p4p
0.000858,p4p
0.001219,p4p
0.002158,p4p
0.004170,p4p
0.002241,p4p
0.002144,p4p
0.001608,p4p
0.001228,p4p
0.001272,p4p
0.000640,p4p
0.000506,p4p
0.000466,p4p
0.001658,p4p
0.001245,p4p
0.000301,p4p
0.001030,p4p
0.004224,p4p
0.000780,p4p
0.002535,p4p
0.001726,p4p
0.002903,p4p
0.001436,p4p
0.000681,p4p
0.000939,p4p
0.001078,p4p
0.001055,p4p
0.001974,p4p
0.002636,p4p
0.003328,p4p
0.001388,p4p
0.001765,real
0.001681,real
0.001037,real
0.001498,real
0.001285,real
0.001254,real
0.001188,real
0.000810,real
0.000694,real
0.001688,real
0.000889,real
0.001530,real
6.659128,real
0.004843,real
0.002593,real
0.000255,real
0.000651,real
0.001831,real
0.002086,real
0.002190,real
0.002159,real
0.001169,real
0.000867,real
0.000926,real
0.002049,real
0.001729,real
0.001204,real
0.001314,real
0.004062,real
0.000114,real
0.002134,real
0.001096,real
0.002932,real
0.001747,real
0.001151,real
0.001374,real
0.001050,real
0.000645,real
0.001567,real
0.001841,real
0.001996,real
0.001282,real
