f,algo
0.001943,p35p
0.002915,p35p
0.004137,p35p
0.002742,p35p
0.003234,p35p
0.004935,p35p
0.003253,p35p
0.003089,p35p
0.002674,p35p
0.002297,p35p
0.002279,p35p
0.001008,p35p
0.002090,p35p
0.003275,p35p
0.003111,p35p
0.003809,p35p
0.002600,p35p
0.002407,p35p
0.004530,p35p
0.003340,p35p
0.002797,p35p
0.000327,p35p
0.003465,p35p
0.002468,p35p
0.005639,p35p
0.001311,p35p
0.001625,p35p
0.002986,p35p
0.002656,p35p
0.000351,p35p
0.001539,p35p
0.001344,p35p
0.002159,p35p
0.001358,p35p
0.001952,p35p
0.002527,p35p
0.000645,p35p
0.000908,p35p
0.001354,p35p
0.001964,p4p
0.002944,p4p
0.004148,p4p
0.002787,p4p
0.003280,p4p
0.004850,p4p
0.003226,p4p
0.003013,p4p
0.002629,p4p
0.002282,p4p
0.002369,p4p
0.001053,p4p
0.002121,p4p
0.003038,p4p
0.002661,p4p
0.003905,p4p
0.002644,p4p
0.002700,p4p
0.004808,p4p
0.003457,p4p
0.003016,p4p
0.000462,p4p
0.001944,p4p
0.002410,p4p
0.005052,p4p
0.002309,p4p
0.001583,p4p
0.002997,p4p
0.002444,p4p
0.003649,p4p
0.000243,p4p
0.001283,p4p
0.001087,p4p
0.001954,p4p
0.001119,p4p
0.002062,p4p
0.002014,p4p
0.000969,p4p
0.001245,p4p
0.002111,p4p
0.525114,real
0.831925,real
0.800452,real
0.849698,real
0.797763,real
0.642946,real
