R,t,algo
0.113929,0.042715,p35p
0.066499,0.030151,p35p
51.659115,1.788599,p35p
20.564577,0.866627,p35p
31.031626,0.938714,p35p
0.092091,0.019689,p35p
0.169845,0.053896,p35p
0.145327,0.038111,p35p
0.141896,0.041047,p35p
0.060425,0.035448,p35p
0.104203,0.046526,p35p
0.057078,0.035408,p35p
0.044468,0.035058,p35p
0.016436,0.043592,p35p
0.036924,0.059532,p35p
0.140780,0.074858,p35p
0.127222,0.047902,p35p
0.104023,0.027859,p35p
0.124221,0.034271,p35p
0.011258,0.059517,p35p
0.140547,0.030172,p35p
0.172813,0.048558,p35p
0.237738,0.066927,p35p
0.083113,0.008730,p35p
0.183300,0.022311,p35p
0.134773,0.090764,p35p
0.028182,0.049106,p35p
0.109001,0.033332,p35p
0.098379,0.011285,p35p
0.087255,0.064070,p35p
0.139268,0.065777,p35p
0.092354,0.066392,p35p
0.117587,0.068096,p35p
0.142662,0.067662,p35p
0.049657,0.072219,p35p
0.103239,0.039406,p35p
0.051924,0.032615,p35p
0.043427,0.036949,p35p
0.038927,0.070663,p35p
0.140628,0.009710,p4p
0.028411,0.006629,p4p
51.650374,0.425079,p4p
20.563912,0.205614,p4p
31.026275,0.222817,p4p
0.109266,0.004836,p4p
0.165247,0.013120,p4p
0.131168,0.008926,p4p
0.154412,0.009558,p4p
0.053919,0.008120,p4p
0.102888,0.010524,p4p
0.057503,0.008476,p4p
0.052773,0.008242,p4p
0.014694,0.010080,p4p
0.043473,0.013759,p4p
0.149505,0.017644,p4p
0.143723,0.010978,p4p
0.121844,0.006620,p4p
0.134363,0.007719,p4p
0.057034,0.013604,p4p
0.125248,0.007437,p4p
0.154724,0.011910,p4p
0.146433,0.016808,p4p
0.090834,0.002616,p4p
0.103482,0.006565,p4p
0.154855,0.021925,p4p
0.043631,0.011796,p4p
0.143677,0.007793,p4p
0.101381,0.003037,p4p
0.211375,0.016073,p4p
0.076491,0.015519,p4p
0.131443,0.015912,p4p
0.099283,0.016068,p4p
0.097032,0.016490,p4p
0.115205,0.016396,p4p
0.057056,0.017510,p4p
0.103976,0.009946,p4p
0.052724,0.008269,p4p
0.055385,0.009072,p4p
0.021679,0.016432,p4p
69.661994,6.118450,real
13.180440,5.485754,real
62.775004,4.567775,real
64.108584,3.634497,real
22.095638,3.119937,real
14.515821,2.819145,real
16.226212,1.801147,real
18.584354,3.421648,real
32.647732,39.580934,real
12.529807,3.600720,real
9.527577,5.603716,real
13.017289,4.513789,real
60.627191,3.489912,real
54.738446,2.010002,real
60.412025,2.714214,real
