R,t,algo
0.512567,7579.807163,p35p
0.352373,6500.574087,p35p
0.149522,4983.041277,p35p
0.134107,3403.445313,p35p
0.129028,2521.558630,p35p
0.190179,2342.724617,p35p
0.044802,1167.440920,p35p
0.022917,3882.374290,p35p
0.071688,41657.124646,p35p
0.018821,4152.980626,p35p
0.067980,7465.651231,p35p
0.078022,6075.112371,p35p
0.083029,4845.536282,p35p
0.090896,3590.341048,p35p
0.096274,3886.861711,p35p
0.001103,0.067583,p4p
0.000734,0.047107,p4p
0.410696,2.835066,p4p
0.168296,1.374532,p4p
0.252200,1.488547,p4p
0.000966,0.033178,p4p
0.001224,0.087197,p4p
0.000798,0.061447,p4p
0.000981,0.065642,p4p
0.000672,0.056980,p4p
0.000745,0.074005,p4p
0.000250,0.056883,p4p
0.000387,0.057040,p4p
0.000354,0.070304,p4p
0.000312,0.094609,p4p
0.000993,0.119454,p4p
0.001170,0.075847,p4p
0.000961,0.044704,p4p
0.000813,0.055284,p4p
0.000419,0.094608,p4p
0.000892,0.047136,p4p
0.001129,0.077719,p4p
0.001937,0.109207,p4p
0.000534,0.014563,p4p
0.001470,0.033342,p4p
0.001140,0.144361,p4p
0.000359,0.079047,p4p
0.000875,0.053644,p4p
0.000594,0.018399,p4p
0.000844,0.102184,p4p
0.000951,0.104729,p4p
0.000899,0.105740,p4p
0.000822,0.108476,p4p
0.000884,0.107795,p4p
0.000790,0.114996,p4p
0.000981,0.062575,p4p
0.000694,0.051921,p4p
0.000383,0.059417,p4p
0.000341,0.111235,p4p
0.538493,71.379829,real
0.108203,63.998587,real
0.491038,53.289143,real
0.500370,42.401228,real
0.180669,36.398197,real
0.119110,32.889067,real
0.133055,21.012763,real
0.152234,39.918057,real
0.264992,461.764050,real
0.102883,42.007172,real
0.078301,65.374768,real
0.106871,52.659334,real
0.475867,40.714452,real
0.433431,23.449336,real
0.474337,31.664899,real
