R,t,algo
65.866206,5.539888,p35p
43.893891,4.751104,p35p
18.250289,3.641978,p35p
16.355202,2.487491,p35p
15.731668,1.842943,p35p
23.274576,1.712238,p35p
5.447888,0.853253,p35p
2.786183,2.837528,p35p
8.721488,30.446130,p35p
2.288674,3.035308,p35p
8.269316,5.456454,p35p
9.493772,4.440145,p35p
10.104555,3.541479,p35p
11.064929,2.624089,p35p
11.721783,2.840808,p35p
0.142161,0.042580,p4p
0.126637,0.029679,p4p
51.648077,1.786197,p4p
20.565451,0.866007,p4p
31.030392,0.937840,p4p
0.052238,0.020903,p4p
0.161612,0.054938,p4p
0.136694,0.038714,p4p
0.146794,0.041357,p4p
0.055246,0.035899,p4p
0.103428,0.046626,p4p
0.060651,0.035838,p4p
0.045094,0.035938,p4p
0.036163,0.044294,p4p
0.077858,0.059607,p4p
0.151968,0.075260,p4p
0.178839,0.047787,p4p
0.123672,0.028165,p4p
0.123922,0.034831,p4p
0.111027,0.059607,p4p
0.163876,0.029697,p4p
0.165823,0.048966,p4p
0.215370,0.068805,p4p
0.084538,0.009175,p4p
0.161581,0.021007,p4p
0.127822,0.090953,p4p
0.033211,0.049803,p4p
0.124163,0.033798,p4p
0.098806,0.011592,p4p
0.107527,0.064380,p4p
0.092790,0.065983,p4p
0.102828,0.066620,p4p
0.082810,0.068344,p4p
0.130593,0.067915,p4p
0.059594,0.072452,p4p
0.105723,0.039425,p4p
0.064741,0.032712,p4p
0.050637,0.037435,p4p
0.021727,0.070082,p4p
0.127296,0.212313,real
0.066698,0.150835,real
51.673381,8.765336,real
20.560493,4.247553,real
31.021369,4.600374,real
0.151464,0.090382,real
0.181111,0.278705,real
0.125577,0.188722,real
0.149945,0.195570,real
0.057059,0.178783,real
0.103820,0.247788,real
0.052323,0.189006,real
0.055087,0.223209,real
0.073735,0.298810,real
0.130604,0.378633,real
0.185370,0.240504,real
0.098560,0.139864,real
0.134963,0.162840,real
0.068975,0.282953,real
0.159200,0.143941,real
0.173246,0.245324,real
0.181580,0.358344,real
0.086378,0.045469,real
0.208659,0.126529,real
0.122342,0.458210,real
0.030511,0.238530,real
0.128266,0.164965,real
0.098753,0.056013,real
0.083159,0.325711,real
0.119157,0.333365,real
0.071541,0.335215,real
0.128851,0.344572,real
0.119899,0.342543,real
0.048771,0.364913,real
0.132002,0.190099,real
0.071036,0.161446,real
0.051896,0.187949,real
0.015988,0.350102,real
