R,t,algo
0.001515,0.019680,p35p
0.001432,0.020168,p35p
0.001654,0.010229,p35p
0.000973,0.004026,p35p
0.001071,0.003095,p35p
0.000932,0.003627,p35p
0.000787,0.004204,p35p
0.000450,0.005086,p35p
0.000948,0.007183,p35p
0.000913,0.007452,p35p
0.001160,0.007184,p35p
0.000925,0.007659,p35p
0.001665,0.007414,p35p
0.001509,0.007431,p35p
0.000703,0.007286,p35p
0.001029,0.007027,p35p
0.001423,0.006835,p35p
0.001390,0.006733,p35p
0.001222,0.006753,p35p
0.001016,0.006526,p35p
0.000655,0.006434,p35p
0.000997,0.006275,p35p
0.001257,0.006052,p35p
0.001150,0.006219,p35p
0.000507,0.006262,p35p
0.000836,0.005484,p35p
0.001306,0.005153,p35p
0.000962,0.005078,p35p
0.001187,0.005186,p35p
0.000422,0.003657,p35p
0.000468,0.001825,p35p
0.000313,0.002562,p35p
0.001039,0.002243,p35p
0.001048,0.003207,p35p
0.000960,0.001109,p35p
0.001802,0.006593,p35p
0.001960,0.007916,p35p
0.000473,0.024193,p35p
0.002208,0.024830,p35p
0.004061,0.025940,p35p
0.003846,0.021273,p35p
0.003970,0.020211,p35p
0.004790,0.012024,p35p
0.002611,0.032060,p35p
0.001563,0.024632,p35p
0.001389,0.018827,p35p
0.001546,0.010933,p35p
0.001863,0.008211,p35p
0.000949,0.014286,p35p
0.001560,0.007891,p35p
0.001571,0.002967,p35p
0.001041,0.009075,p35p
0.001644,0.006569,p35p
0.001463,0.003639,p35p
0.001944,0.003808,p35p
0.000504,0.004124,p35p
0.001877,0.004102,p35p
0.001164,0.003956,p35p
0.001301,0.003947,p35p
0.001641,0.003107,p35p
0.001272,0.002779,p35p
0.000675,0.001971,p35p
0.001424,0.003436,p35p
0.000926,0.004458,p35p
0.000764,0.005891,p35p
0.000475,0.006908,p35p
0.001619,0.008011,p35p
0.000824,0.009191,p35p
0.000777,0.010744,p35p
0.001710,0.004574,p35p
0.001309,0.007559,p35p
0.002943,0.007389,p35p
0.002047,0.023613,p35p
0.002551,0.025198,p35p
0.005486,0.017946,p35p
0.002953,0.041318,p35p
0.002245,0.021010,p4p
0.002129,0.022620,p4p
0.000624,0.008925,p4p
0.000568,0.006872,p4p
0.001935,0.010479,p4p
0.002025,0.014756,p4p
0.001931,0.014756,p4p
0.001835,0.012920,p4p
0.001973,0.013178,p4p
0.001908,0.013619,p4p
0.001962,0.013928,p4p
0.001794,0.013968,p4p
0.002231,0.013194,p4p
0.002123,0.012913,p4p
0.001596,0.012634,p4p
0.001751,0.011674,p4p
0.001997,0.010962,p4p
0.001929,0.010567,p4p
0.001818,0.010287,p4p
0.001669,0.009896,p4p
0.001439,0.009097,p4p
0.001602,0.008745,p4p
0.001699,0.007742,p4p
0.001669,0.007128,p4p
0.001017,0.006904,p4p
0.001384,0.005477,p4p
0.001741,0.004704,p4p
0.001534,0.004394,p4p
0.001728,0.004411,p4p
0.001100,0.003401,p4p
0.000030,0.004602,p4p
0.000408,0.003434,p4p
0.001193,0.003824,p4p
0.001642,0.004611,p4p
0.001122,0.006243,p4p
0.001755,0.014327,p4p
0.002704,0.028832,p4p
0.005079,0.047914,p4p
0.019940,0.164737,p4p
0.022085,0.142622,p4p
0.032572,0.277002,p4p
0.002010,0.044198,p4p
0.002071,0.030898,p4p
0.001785,0.019482,p4p
0.000238,0.009408,p4p
0.001708,0.006479,p4p
0.001486,0.014349,p4p
0.000364,0.005082,p4p
0.001997,0.011767,p4p
0.000447,0.025410,p4p
0.000690,0.020062,p4p
0.002067,0.010925,p4p
0.000053,0.008925,p4p
0.001884,0.008541,p4p
0.002691,0.007796,p4p
0.002235,0.007028,p4p
0.001261,0.005874,p4p
0.002461,0.006282,p4p
0.001862,0.008851,p4p
0.001200,0.009549,p4p
0.001965,0.008560,p4p
0.000939,0.008588,p4p
0.001073,0.009308,p4p
0.001440,0.010175,p4p
0.002115,0.011311,p4p
0.001117,0.012928,p4p
0.001586,0.014911,p4p
0.000632,0.000871,p4p
0.001105,0.007079,p4p
0.002522,0.012955,p4p
0.006123,0.075550,p4p
0.010693,0.104537,p4p
0.005081,0.028924,p4p
0.005605,0.026947,p4p
0.002234,0.003996,real
0.000493,0.004098,real
0.001100,0.002102,real
0.000751,0.000817,real
0.001126,0.000490,real
0.000900,0.000579,real
0.000743,0.000692,real
0.000415,0.000852,real
0.000889,0.001255,real
0.000867,0.001316,real
0.001120,0.001260,real
0.000888,0.001353,real
0.001649,0.001311,real
0.001496,0.001320,real
0.000662,0.001306,real
0.001006,0.001259,real
0.001401,0.001228,real
0.001370,0.001216,real
0.001198,0.001229,real
0.000987,0.001195,real
0.000618,0.001181,real
0.000967,0.001160,real
0.001238,0.001120,real
0.001124,0.001159,real
0.000543,0.001183,real
0.000801,0.001036,real
0.001294,0.000982,real
0.000867,0.000985,real
0.001156,0.001025,real
0.000478,0.000710,real
0.000330,0.000367,real
0.000453,0.000501,real
0.000943,0.000454,real
0.001001,0.000571,real
0.000979,0.000175,real
0.001784,0.001299,real
0.001790,0.001625,real
0.001349,0.004875,real
0.002392,0.005002,real
0.004033,0.005229,real
0.003445,0.004362,real
0.003279,0.003498,real
