f,algo
0.001891,p35p
0.001239,p35p
0.001867,p35p
0.001836,p35p
0.001558,p35p
0.001067,p35p
0.001406,p35p
0.001536,p35p
0.001688,p35p
0.001647,p35p
0.000600,p35p
0.000745,p35p
0.000710,p35p
0.000753,p35p
0.000725,p35p
0.000810,p35p
0.000691,p35p
0.000760,p35p
0.000682,p35p
0.000813,p35p
0.000802,p35p
0.000816,p35p
0.000890,p35p
0.001215,p35p
0.002021,p35p
0.001614,p35p
0.001852,p35p
0.002352,p35p
0.002999,p35p
0.001679,p35p
0.001351,p35p
0.001656,p35p
0.001783,p35p
0.001056,p35p
0.001497,p35p
0.001599,p35p
0.002639,p35p
0.002464,p35p
0.002256,p35p
0.002633,p35p
0.001700,p35p
0.002810,p35p
0.002400,p35p
0.005062,p35p
0.002262,p35p
0.001076,p35p
0.001931,p35p
0.000543,p35p
0.000989,p35p
0.000493,p35p
0.000864,p35p
0.002460,p35p
0.002312,p35p
0.001369,p35p
0.000923,p35p
0.000803,p35p
0.000800,p35p
0.000808,p35p
0.000895,p35p
0.000898,p35p
0.001136,p35p
0.001491,p35p
0.001129,p35p
0.001038,p35p
0.000877,p35p
0.000753,p35p
0.000843,p35p
0.000823,p35p
0.000791,p35p
0.003949,p35p
0.003680,p35p
0.003990,p35p
0.002744,p35p
0.002920,p35p
0.005972,p35p
0.002649,p35p
0.002110,p4p
0.001353,p4p
0.001909,p4p
0.001735,p4p
0.001398,p4p
0.001220,p4p
0.001517,p4p
0.001587,p4p
0.001731,p4p
0.001700,p4p
0.000691,p4p
0.000835,p4p
0.000849,p4p
0.000896,p4p
0.000840,p4p
0.000962,p4p
0.000854,p4p
0.000930,p4p
0.000820,p4p
0.001003,p4p
0.000999,p4p
0.001026,p4p
0.001111,p4p
0.001130,p4p
0.001905,p4p
0.001514,p4p
0.001741,p4p
0.002218,p4p
0.002838,p4p
0.001592,p4p
0.001296,p4p
0.001543,p4p
0.001681,p4p
0.001604,p4p
0.002359,p4p
0.002948,p4p
0.004309,p4p
0.005049,p4p
0.054248,p4p
0.013119,p4p
0.013853,p4p
0.005119,p4p
0.001782,p4p
0.001377,p4p
0.001807,p4p
0.000763,p4p
0.001115,p4p
0.000546,p4p
0.000946,p4p
0.002622,p4p
0.002400,p4p
0.001552,p4p
0.001095,p4p
0.000968,p4p
0.000993,p4p
0.001009,p4p
0.001109,p4p
0.001115,p4p
0.001215,p4p
0.001571,p4p
0.001195,p4p
0.001079,p4p
0.000912,p4p
0.000946,p4p
0.001032,p4p
0.001022,p4p
0.000991,p4p
0.004103,p4p
0.003936,p4p
0.004404,p4p
0.018102,p4p
0.035824,p4p
0.006359,p4p
0.007384,p4p
0.001794,real
0.001176,real
0.001918,real
0.001933,real
0.001580,real
0.001173,real
0.001485,real
0.001638,real
0.001748,real
0.001731,real
0.000674,real
0.000813,real
0.000681,real
0.000723,real
0.000775,real
0.000783,real
0.000669,real
0.000738,real
0.000726,real
0.000794,real
0.000783,real
0.000801,real
0.000873,real
0.001262,real
0.002073,real
0.001659,real
0.001893,real
0.002397,real
0.003048,real
0.001716,real
0.001357,real
0.001675,real
0.001788,real
0.001030,real
0.001470,real
0.001557,real
0.002529,real
0.002453,real
0.002271,real
0.002689,real
0.001962,real
0.001004,real
0.004680,real
0.001651,real
0.000917,real
0.001915,real
0.000631,real
0.001538,real
0.000524,real
0.000792,real
0.002441,real
0.002277,real
0.001365,real
0.000899,real
0.000782,real
0.000785,real
0.000786,real
0.000871,real
0.000871,real
0.001168,real
0.001523,real
0.001176,real
0.001079,real
0.000928,real
0.000732,real
0.000823,real
0.000808,real
0.000775,real
0.004005,real
0.003756,real
0.004084,real
0.002724,real
0.002938,real
0.006206,real
0.005276,real
