R,t,algo
0.086817,0.019680,p35p
0.082043,0.020168,p35p
0.094762,0.010229,p35p
0.055765,0.004026,p35p
0.061380,0.003095,p35p
0.053374,0.003627,p35p
0.045078,0.004204,p35p
0.025769,0.005086,p35p
0.054303,0.007183,p35p
0.052298,0.007452,p35p
0.066451,0.007184,p35p
0.053010,0.007659,p35p
0.095419,0.007414,p35p
0.086482,0.007431,p35p
0.040299,0.007286,p35p
0.058970,0.007027,p35p
0.081534,0.006835,p35p
0.079658,0.006733,p35p
0.070031,0.006753,p35p
0.058237,0.006526,p35p
0.037504,0.006434,p35p
0.057103,0.006275,p35p
0.072017,0.006052,p35p
0.065887,0.006219,p35p
0.029026,0.006262,p35p
0.047926,0.005484,p35p
0.074842,0.005153,p35p
0.055140,0.005078,p35p
0.068009,0.005186,p35p
0.024162,0.003657,p35p
0.026794,0.001825,p35p
0.017950,0.002562,p35p
0.059509,0.002243,p35p
0.060035,0.003207,p35p
0.054987,0.001109,p35p
0.103239,0.006593,p35p
0.112313,0.007916,p35p
0.027081,0.024193,p35p
0.126527,0.024830,p35p
0.232687,0.025940,p35p
0.220382,0.021273,p35p
0.227436,0.020211,p35p
0.274439,0.012024,p35p
0.149606,0.032060,p35p
0.089537,0.024632,p35p
0.079610,0.018827,p35p
0.088553,0.010933,p35p
0.106717,0.008211,p35p
0.054352,0.014286,p35p
0.089397,0.007891,p35p
0.089987,0.002967,p35p
0.059659,0.009075,p35p
0.094189,0.006569,p35p
0.083796,0.003639,p35p
0.111367,0.003808,p35p
0.028866,0.004124,p35p
0.107542,0.004102,p35p
0.066716,0.003956,p35p
0.074535,0.003947,p35p
0.094007,0.003107,p35p
0.072856,0.002779,p35p
0.038653,0.001971,p35p
0.081584,0.003436,p35p
0.053046,0.004458,p35p
0.043748,0.005891,p35p
0.027226,0.006908,p35p
0.092752,0.008011,p35p
0.047228,0.009191,p35p
0.044535,0.010744,p35p
0.098001,0.004574,p35p
0.075020,0.007559,p35p
0.168629,0.007389,p35p
0.117279,0.023613,p35p
0.146158,0.025198,p35p
0.314326,0.017946,p35p
0.169222,0.041318,p35p
0.111985,0.019733,p4p
0.072299,0.020482,p4p
0.078769,0.010575,p4p
0.054815,0.004184,p4p
0.065633,0.002841,p4p
0.053195,0.003134,p4p
0.044631,0.003687,p4p
0.027453,0.004493,p4p
0.051881,0.006534,p4p
0.051977,0.006837,p4p
0.066228,0.006663,p4p
0.052423,0.007122,p4p
0.095112,0.006925,p4p
0.086186,0.006969,p4p
0.039701,0.006870,p4p
0.058454,0.006627,p4p
0.081611,0.006459,p4p
0.079400,0.006384,p4p
0.069387,0.006432,p4p
0.058228,0.006236,p4p
0.037301,0.006152,p4p
0.056851,0.006021,p4p
0.071772,0.005812,p4p
0.066019,0.005996,p4p
0.032642,0.006062,p4p
0.045861,0.005311,p4p
0.075740,0.005005,p4p
0.051164,0.004958,p4p
0.064183,0.005087,p4p
0.025076,0.003560,p4p
0.022897,0.001809,p4p
0.009620,0.002526,p4p
0.056463,0.002222,p4p
0.059875,0.003175,p4p
0.057173,0.001067,p4p
0.107440,0.006572,p4p
0.117442,0.008021,p4p
0.074540,0.024567,p4p
0.118034,0.025200,p4p
0.200703,0.026277,p4p
0.147913,0.021512,p4p
0.229930,0.019157,p4p
0.245504,0.011378,p4p
0.114909,0.032359,p4p
0.054272,0.024837,p4p
0.075759,0.018579,p4p
0.082168,0.011426,p4p
0.095506,0.007956,p4p
0.025349,0.014785,p4p
0.091583,0.008049,p4p
0.088768,0.002479,p4p
0.050071,0.009023,p4p
0.095396,0.006347,p4p
0.085777,0.003303,p4p
0.109980,0.003483,p4p
0.025978,0.003796,p4p
0.107383,0.003794,p4p
0.066500,0.003675,p4p
0.073654,0.003694,p4p
0.094393,0.002865,p4p
0.072678,0.002495,p4p
0.039651,0.001696,p4p
0.081503,0.003157,p4p
0.053584,0.004176,p4p
0.043875,0.005601,p4p
0.026869,0.006616,p4p
0.092605,0.007714,p4p
0.047375,0.008900,p4p
0.044660,0.010447,p4p
0.082128,0.004461,p4p
0.073470,0.007531,p4p
0.179974,0.007322,p4p
0.131844,0.023992,p4p
0.145302,0.025544,p4p
0.310671,0.017703,p4p
0.260891,0.022429,p4p
0.127997,0.003996,real
0.028230,0.004098,real
0.063042,0.002102,real
0.043038,0.000817,real
0.064505,0.000490,real
0.051588,0.000579,real
0.042566,0.000692,real
0.023781,0.000852,real
0.050920,0.001255,real
0.049672,0.001316,real
0.064188,0.001260,real
0.050861,0.001353,real
0.094505,0.001311,real
0.085718,0.001320,real
0.037942,0.001306,real
0.057643,0.001259,real
0.080248,0.001228,real
0.078476,0.001216,real
0.068658,0.001229,real
0.056561,0.001195,real
0.035405,0.001181,real
0.055434,0.001160,real
0.070920,0.001120,real
0.064399,0.001159,real
