f,algo
0.001891,p35p
0.001239,p35p
0.001867,p35p
0.001836,p35p
0.001558,p35p
0.001067,p35p
0.001406,p35p
0.001536,p35p
0.001688,p35p
0.001647,p35p
0.000600,p35p
0.000745,p35p
0.000710,p35p
0.000753,p35p
0.000725,p35p
0.000810,p35p
0.000691,p35p
0.000760,p35p
0.000682,p35p
0.000813,p35p
0.000802,p35p
0.000816,p35p
0.000890,p35p
0.001215,p35p
0.002021,p35p
0.001614,p35p
0.001852,p35p
0.002352,p35p
0.002999,p35p
0.001679,p35p
0.001351,p35p
0.001656,p35p
0.001783,p35p
0.001056,p35p
0.001497,p35p
0.001599,p35p
0.002639,p35p
0.002464,p35p
0.002256,p35p
0.002633,p35p
0.001700,p35p
0.002810,p35p
0.002400,p35p
0.005062,p35p
0.002262,p35p
0.001076,p35p
0.001931,p35p
0.000543,p35p
0.000989,p35p
0.000493,p35p
0.000864,p35p
0.002460,p35p
0.002312,p35p
0.001369,p35p
0.000923,p35p
0.000803,p35p
0.000800,p35p
0.000808,p35p
0.000895,p35p
0.000898,p35p
0.001136,p35p
0.001491,p35p
0.001129,p35p
0.001038,p35p
0.000877,p35p
0.000753,p35p
0.000843,p35p
0.000823,p35p
0.000791,p35p
0.003949,p35p
0.003680,p35p
0.003990,p35p
0.002744,p35p
0.002920,p35p
0.005972,p35p
0.002649,p35p
0.001999,p4p
0.001277,p4p
0.001862,p4p
0.001739,p4p
0.001335,p4p
0.001032,p4p
0.001346,p4p
0.001464,p4p
0.001627,p4p
0.001621,p4p
0.000570,p4p
0.000735,p4p
0.000695,p4p
0.000738,p4p
0.000707,p4p
0.000798,p4p
0.000681,p4p
0.000747,p4p
0.000660,p4p
0.000802,p4p
0.000791,p4p
0.000804,p4p
0.000877,p4p
0.001196,p4p
0.001994,p4p
0.001597,p4p
0.001830,p4p
0.002331,p4p
0.002974,p4p
0.001653,p4p
0.001312,p4p
0.001624,p4p
0.001753,p4p
0.001043,p4p
0.001487,p4p
0.001598,p4p
0.002671,p4p
0.002466,p4p
0.002262,p4p
0.002642,p4p
0.001673,p4p
0.002447,p4p
0.001628,p4p
0.005111,p4p
0.002202,p4p
0.001290,p4p
0.001792,p4p
0.000849,p4p
0.000987,p4p
0.000474,p4p
0.000822,p4p
0.002445,p4p
0.002226,p4p
0.001409,p4p
0.000912,p4p
0.000786,p4p
0.000792,p4p
0.000801,p4p
0.000883,p4p
0.000888,p4p
0.001104,p4p
0.001455,p4p
0.001100,p4p
0.001009,p4p
0.000849,p4p
0.000742,p4p
0.000830,p4p
0.000814,p4p
0.000782,p4p
0.003918,p4p
0.003669,p4p
0.003968,p4p
0.002744,p4p
0.002921,p4p
0.005984,p4p
0.004006,p4p
0.001794,real
0.001176,real
0.001918,real
0.001933,real
0.001580,real
0.001173,real
0.001485,real
0.001638,real
0.001748,real
0.001731,real
0.000674,real
0.000813,real
0.000681,real
0.000723,real
0.000775,real
0.000783,real
0.000669,real
0.000738,real
0.000726,real
0.000794,real
0.000783,real
0.000801,real
0.000873,real
0.001262,real
0.002073,real
0.001659,real
0.001893,real
0.002397,real
0.003048,real
0.001716,real
0.001357,real
0.001675,real
0.001788,real
0.001030,real
0.001470,real
0.001557,real
0.002529,real
0.002453,real
0.002271,real
0.002689,real
0.001962,real
0.001004,real
0.004680,real
0.001651,real
0.000917,real
0.001915,real
0.000631,real
0.001538,real
0.000524,real
0.000792,real
0.002441,real
0.002277,real
0.001365,real
0.000899,real
0.000782,real
0.000785,real
0.000786,real
0.000871,real
0.000871,real
0.001168,real
0.001523,real
0.001176,real
0.001079,real
0.000928,real
0.000732,real
0.000823,real
0.000808,real
0.000775,real
0.004005,real
0.003756,real
0.004084,real
0.002724,real
0.002938,real
0.006206,real
0.005276,real
