R,t,algo
0.001451,0.020022,p35p
0.001340,0.020627,p35p
0.001537,0.010665,p35p
0.000939,0.004144,p35p
0.001124,0.002574,p35p
0.000964,0.002951,p35p
0.000825,0.003501,p35p
0.000572,0.004324,p35p
0.000977,0.006382,p35p
0.000955,0.006721,p35p
0.001170,0.006507,p35p
0.000939,0.006965,p35p
0.001672,0.006759,p35p
0.001518,0.006810,p35p
0.000721,0.006739,p35p
0.001041,0.006500,p35p
0.001430,0.006352,p35p
0.001397,0.006300,p35p
0.001236,0.006375,p35p
0.001033,0.006199,p35p
0.000679,0.006135,p35p
0.001013,0.006032,p35p
0.001268,0.005841,p35p
0.001164,0.006048,p35p
0.000000,0.006166,p35p
0.000887,0.005429,p35p
0.001362,0.005157,p35p
0.000929,0.005167,p35p
0.001229,0.005340,p35p
0.000000,0.003791,p35p
0.000373,0.002007,p35p
0.000000,0.002760,p35p
0.000988,0.002523,p35p
0.001034,0.003188,p35p
0.000000,0.000684,p35p
0.001880,0.006352,p35p
0.001901,0.007924,p35p
0.001934,0.024462,p35p
0.001729,0.025091,p35p
0.003802,0.026304,p35p
0.003510,0.021399,p35p
0.003403,0.019997,p35p
0.004514,0.011885,p35p
0.002714,0.031964,p35p
0.001862,0.025595,p35p
0.001324,0.018981,p35p
0.001274,0.011485,p35p
0.001579,0.008394,p35p
0.000000,0.013470,p35p
0.001618,0.009213,p35p
0.001523,0.002232,p35p
0.000000,0.009441,p35p
0.000000,0.006273,p35p
0.001537,0.003165,p35p
0.000000,0.003417,p35p
0.000000,0.003731,p35p
0.001890,0.003756,p35p
0.001183,0.003661,p35p
0.000000,0.003704,p35p
0.001657,0.002892,p35p
0.001287,0.002455,p35p
0.000000,0.001645,p35p
0.001439,0.003129,p35p
0.000000,0.004153,p35p
0.000000,0.005574,p35p
0.000507,0.006579,p35p
0.001627,0.007664,p35p
0.000000,0.008839,p35p
0.000791,0.010361,p35p
0.001450,0.004487,p35p
0.001331,0.007535,p35p
0.002937,0.006984,p35p
0.002934,0.023901,p35p
0.002392,0.025442,p35p
0.005333,0.016981,p35p
0.005311,0.015724,p35p
0.001961,0.020311,p4p
0.001352,0.020829,p4p
0.000789,0.010663,p4p
0.000785,0.004068,p4p
0.001131,0.002545,p4p
0.000943,0.002985,p4p
0.000801,0.003540,p4p
0.000489,0.004344,p4p
0.000958,0.006418,p4p
0.000938,0.006751,p4p
0.001158,0.006518,p4p
0.000938,0.006987,p4p
0.001671,0.006781,p4p
0.001521,0.006824,p4p
0.000720,0.006741,p4p
0.001031,0.006503,p4p
0.001430,0.006354,p4p
0.001400,0.006302,p4p
0.001231,0.006373,p4p
0.001034,0.006195,p4p
0.000686,0.006125,p4p
0.001012,0.006029,p4p
0.001270,0.005832,p4p
0.001179,0.006043,p4p
0.000000,0.006152,p4p
0.000857,0.005416,p4p
0.001342,0.005145,p4p
0.000994,0.005146,p4p
0.001245,0.005334,p4p
0.000000,0.003743,p4p
0.000428,0.001990,p4p
0.000059,0.002722,p4p
0.001029,0.002479,p4p
0.001038,0.003099,p4p
0.000000,0.000698,p4p
0.001776,0.006412,p4p
0.002068,0.008002,p4p
0.001432,0.024497,p4p
0.002230,0.025121,p4p
0.003413,0.026330,p4p
0.003714,0.021426,p4p
0.003784,0.020018,p4p
0.004673,0.011892,p4p
0.002176,0.034110,p4p
0.001063,0.025693,p4p
0.000478,0.019584,p4p
0.001040,0.011050,p4p
0.001888,0.008720,p4p
0.000498,0.013775,p4p
0.001487,0.009381,p4p
0.001492,0.002246,p4p
0.000000,0.009359,p4p
0.000000,0.006313,p4p
0.001501,0.003160,p4p
0.000000,0.003432,p4p
0.000000,0.003737,p4p
0.001877,0.003755,p4p
0.001170,0.003662,p4p
0.000000,0.003694,p4p
0.001650,0.002893,p4p
0.001289,0.002486,p4p
0.000000,0.001680,p4p
0.001434,0.003148,p4p
0.000000,0.004168,p4p
0.000000,0.005580,p4p
0.000506,0.006566,p4p
0.001628,0.007655,p4p
0.000000,0.008811,p4p
0.000787,0.010306,p4p
0.001525,0.004462,p4p
0.001501,0.007524,p4p
0.003105,0.006913,p4p
0.002662,0.023939,p4p
0.002332,0.025476,p4p
0.005388,0.016961,p4p
0.005308,0.015506,p4p
0.001838,0.004001,real
0.001401,0.004105,real
0.000720,0.002106,real
0.000705,0.000827,real
0.001081,0.000490,real
0.000905,0.000573,real
0.000745,0.000687,real
0.000401,0.000848,real
0.000901,0.001251,real
0.000860,0.001313,real
0.001118,0.001257,real
0.000886,0.001351,real
0.001649,0.001311,real
0.001494,0.001323,real
0.000660,0.001308,real
0.001007,0.001262,real
0.001404,0.001231,real
0.001375,0.001220,real
0.001200,0.001234,real
0.000990,0.001201,real
0.000616,0.001187,real
0.000968,0.001167,real
0.001236,0.001127,real
0.001127,0.001166,real
0.000000,0.001191,real
0.000788,0.001044,real
0.001278,0.000990,real
0.000899,0.000993,real
0.001124,0.001032,real
0.000000,0.000716,real
0.000382,0.000372,real
0.000000,0.000504,real
0.000943,0.000457,real
0.001011,0.000563,real
0.000000,0.000188,real
0.001887,0.001301,real
0.001984,0.001626,real
0.001036,0.004875,real
0.002330,0.005001,real
0.003844,0.005225,real
0.003796,0.004387,real
0.003838,0.003635,real
0.002726,0.006687,real
0.001221,0.005047,real
0.000000,0.003871,real
0.001407,0.002222,real
0.001615,0.001654,real
0.000651,0.002745,real
0.001494,0.001635,real
0.001459,0.000393,real
0.000000,0.001822,real
0.000000,0.001244,real
0.001484,0.000613,real
0.000000,0.000662,real
0.000000,0.000718,real
0.001844,0.000721,real
0.001104,0.000701,real
0.000000,0.000706,real
0.001612,0.000550,real
0.001256,0.000481,real
0.000000,0.000327,real
0.001408,0.000609,real
0.000000,0.000805,real
0.000000,0.001078,real
0.000417,0.001272,real
0.001603,0.001481,real
0.000000,0.001710,real
0.000732,0.002005,real
0.001651,0.000847,real
0.001266,0.001437,real
0.003073,0.001320,real
0.002802,0.004763,real
0.003314,0.005072,real
0.005478,0.003265,real
0.005221,0.003016,real
