R,t,algo
0.083118,0.020022,p35p
0.076768,0.020627,p35p
0.088060,0.010665,p35p
0.053808,0.004144,p35p
0.064388,0.002574,p35p
0.055228,0.002951,p35p
0.047262,0.003501,p35p
0.032763,0.004324,p35p
0.055985,0.006382,p35p
0.054710,0.006721,p35p
0.067043,0.006507,p35p
0.053816,0.006965,p35p
0.095802,0.006759,p35p
0.086991,0.006810,p35p
0.041308,0.006739,p35p
0.059656,0.006500,p35p
0.081943,0.006352,p35p
0.080064,0.006300,p35p
0.070842,0.006375,p35p
0.059213,0.006199,p35p
0.038878,0.006135,p35p
0.058060,0.006032,p35p
0.072646,0.005841,p35p
0.066713,0.006048,p35p
0.030638,0.006166,p35p
0.050798,0.005429,p35p
0.078052,0.005157,p35p
0.053247,0.005167,p35p
0.070396,0.005340,p35p
0.021976,0.003791,p35p
0.021399,0.002007,p35p
0.019189,0.002760,p35p
0.056593,0.002523,p35p
0.059237,0.003188,p35p
0.058524,0.000684,p35p
0.107701,0.006352,p35p
0.108948,0.007924,p35p
0.110833,0.024462,p35p
0.099051,0.025091,p35p
0.217826,0.026304,p35p
0.201090,0.021399,p35p
0.194973,0.019997,p35p
0.258619,0.011885,p35p
0.155515,0.031964,p35p
0.106671,0.025595,p35p
0.075843,0.018981,p35p
0.073017,0.011485,p35p
0.090450,0.008394,p35p
0.029460,0.013470,p35p
0.092719,0.009213,p35p
0.087247,0.002232,p35p
0.045422,0.009441,p35p
0.090867,0.006273,p35p
0.088073,0.003165,p35p
0.110564,0.003417,p35p
0.026000,0.003731,p35p
0.108271,0.003756,p35p
0.067806,0.003661,p35p
0.073485,0.003704,p35p
0.094955,0.002892,p35p
0.073767,0.002455,p35p
0.036970,0.001645,p35p
0.082433,0.003129,p35p
0.052000,0.004153,p35p
0.042557,0.005574,p35p
0.029024,0.006579,p35p
0.093195,0.007664,p35p
0.046437,0.008839,p35p
0.045343,0.010361,p35p
0.083088,0.004487,p35p
0.076282,0.007535,p35p
0.168268,0.006984,p35p
0.168126,0.023901,p35p
0.137062,0.025442,p35p
0.305530,0.016981,p35p
0.304303,0.015724,p35p
0.112350,0.020311,p4p
0.077439,0.020829,p4p
0.045196,0.010663,p4p
0.044964,0.004068,p4p
0.064783,0.002545,p4p
0.054033,0.002985,p4p
0.045918,0.003540,p4p
0.027996,0.004344,p4p
0.054893,0.006418,p4p
0.053734,0.006751,p4p
0.066368,0.006518,p4p
0.053737,0.006987,p4p
0.095727,0.006781,p4p
0.087166,0.006824,p4p
0.041254,0.006741,p4p
0.059069,0.006503,p4p
0.081945,0.006354,p4p
0.080214,0.006302,p4p
0.070543,0.006373,p4p
0.059224,0.006195,p4p
0.039308,0.006125,p4p
0.057975,0.006029,p4p
0.072765,0.005832,p4p
0.067556,0.006043,p4p
0.026682,0.006152,p4p
0.049112,0.005416,p4p
0.076865,0.005145,p4p
0.056962,0.005146,p4p
0.071331,0.005334,p4p
0.021138,0.003743,p4p
0.024502,0.001990,p4p
0.003360,0.002722,p4p
0.058981,0.002479,p4p
0.059458,0.003099,p4p
0.056743,0.000698,p4p
0.101740,0.006412,p4p
0.118499,0.008002,p4p
0.082070,0.024497,p4p
0.127796,0.025121,p4p
0.195531,0.026330,p4p
0.212770,0.021426,p4p
0.216789,0.020018,p4p
0.267767,0.011892,p4p
0.124668,0.034110,p4p
0.060904,0.025693,p4p
0.027386,0.019584,p4p
0.059588,0.011050,p4p
0.108174,0.008720,p4p
0.028541,0.013775,p4p
0.085173,0.009381,p4p
0.085478,0.002246,p4p
0.025452,0.009359,p4p
0.084078,0.006313,p4p
0.086011,0.003160,p4p
0.111279,0.003432,p4p
0.028768,0.003737,p4p
0.107559,0.003755,p4p
0.067017,0.003662,p4p
0.073851,0.003694,p4p
0.094543,0.002893,p4p
0.073851,0.002486,p4p
0.037876,0.001680,p4p
0.082142,0.003148,p4p
0.051893,0.004168,p4p
0.043032,0.005580,p4p
0.029004,0.006566,p4p
0.093269,0.007655,p4p
0.046465,0.008811,p4p
0.045115,0.010306,p4p
0.087351,0.004462,p4p
0.086028,0.007524,p4p
0.177926,0.006913,p4p
0.152525,0.023939,p4p
0.133589,0.025476,p4p
0.308727,0.016961,p4p
0.304111,0.015506,p4p
0.105308,0.004001,real
0.080254,0.004105,real
0.041269,0.002106,real
0.040422,0.000827,real
0.061916,0.000490,real
0.051873,0.000573,real
0.042669,0.000687,real
0.022975,0.000848,real
0.051606,0.001251,real
0.049254,0.001313,real
0.064074,0.001257,real
0.050770,0.001351,real
0.094505,0.001311,real
0.085615,0.001323,real
0.037837,0.001308,real
0.057697,0.001262,real
0.080432,0.001231,real
0.078763,0.001220,real
0.068730,0.001234,real
0.056713,0.001201,real
0.035300,0.001187,real
0.055469,0.001167,real
0.070842,0.001127,real
0.064562,0.001166,real
0.032995,0.001191,real
0.045155,0.001044,real
0.073235,0.000990,real
0.051505,0.000993,real
0.064375,0.001032,real
0.023971,0.000716,real
0.021897,0.000372,real
0.025789,0.000504,real
0.054044,0.000457,real
0.057904,0.000563,real
0.058036,0.000188,real
0.108141,0.001301,real
0.113664,0.001626,real
0.059358,0.004875,real
0.133508,0.005001,real
0.220243,0.005225,real
0.217507,0.004387,real
0.219911,0.003635,real
0.156170,0.006687,real
0.069957,0.005047,real
0.014503,0.003871,real
0.080624,0.002222,real
0.092520,0.001654,real
0.037273,0.002745,real
0.085603,0.001635,real
0.083604,0.000393,real
0.009069,0.001822,real
0.096950,0.001244,real
0.085005,0.000613,real
0.112356,0.000662,real
0.035273,0.000718,real
0.105659,0.000721,real
0.063274,0.000701,real
0.077049,0.000706,real
0.092365,0.000550,real
0.071942,0.000481,real
0.041121,0.000327,real
0.080660,0.000609,real
0.054528,0.000805,real
0.045741,0.001078,real
0.023887,0.001272,real
0.091866,0.001481,real
0.048872,0.001710,real
0.041915,0.002005,real
0.094616,0.000847,real
0.072559,0.001437,real
0.176081,0.001320,real
0.160539,0.004763,real
0.189866,0.005072,real
0.313852,0.003265,real
0.299169,0.003016,real
