R,t,algo
0.502765,0.029140,p35p
32.127643,1.439399,p35p
31.559889,1.467495,p35p
0.203606,0.017930,p35p
48.275495,0.071779,p35p
48.689848,0.020076,p35p
0.248641,0.070183,p35p
0.271678,0.097210,p35p
0.403755,0.094464,p35p
0.534351,0.092493,p35p
0.288931,0.064201,p35p
0.551361,0.021472,p35p
0.308255,0.010588,p35p
0.316385,0.060463,p35p
0.212898,0.028975,p35p
0.309193,0.049060,p35p
0.260242,0.088662,p35p
0.366152,0.121462,p35p
0.334965,0.115897,p35p
0.335938,0.090155,p35p
0.335176,0.081954,p35p
0.338476,0.074009,p35p
0.301377,0.064125,p35p
0.279629,0.061114,p35p
0.403256,0.094005,p35p
0.486980,0.096652,p35p
0.235463,0.041116,p35p
9.076096,1.000601,p35p
0.187066,0.032117,p35p
0.193902,0.017537,p35p
0.538967,0.021067,p4p
32.169146,1.437418,p4p
31.522095,1.461291,p4p
0.248141,0.011932,p4p
48.248239,0.054272,p4p
48.730274,0.019246,p4p
0.288614,0.048370,p4p
0.346264,0.071017,p4p
0.397134,0.101721,p4p
1.044722,0.277567,p4p
0.461536,0.033821,p4p
0.585012,0.013454,p4p
0.441813,0.012851,p4p
0.373230,0.053392,p4p
0.274163,0.025765,p4p
0.347312,0.035927,p4p
0.384782,0.065294,p4p
0.390110,0.102731,p4p
0.412915,0.091278,p4p
0.373768,0.065275,p4p
0.373641,0.058750,p4p
0.374284,0.052186,p4p
0.331317,0.044438,p4p
0.323019,0.042690,p4p
0.420167,0.077789,p4p
0.514278,0.081978,p4p
0.274897,0.025123,p4p
9.035179,0.989706,p4p
0.232059,0.018999,p4p
0.244411,0.016325,p4p
0.411576,0.047033,real
32.089944,1.432786,real
31.626861,1.477274,real
0.920558,0.171112,real
48.236939,0.080720,real
48.699335,0.029935,real
0.256421,0.065563,real
0.240770,0.091808,real
0.884369,0.128790,real
0.681770,0.170595,real
0.322492,0.061339,real
0.461069,0.041477,real
0.269201,0.031588,real
0.250349,0.065877,real
0.189761,0.040403,real
0.279531,0.062358,real
0.319859,0.092194,real
0.320369,0.110644,real
0.305323,0.104016,real
0.293344,0.084989,real
0.287601,0.078214,real
0.297337,0.071157,real
0.276502,0.064445,real
0.261643,0.055557,real
0.382481,0.085086,real
0.455296,0.086139,real
0.236761,0.041676,real
9.159795,0.974574,real
0.815379,0.565057,real
0.191837,0.034491,real
