R,t,algo
0.008775,0.029140,p35p
0.560733,1.439399,p35p
0.550824,1.467495,p35p
0.003554,0.017930,p35p
0.842566,0.071779,p35p
0.849798,0.020076,p35p
0.004340,0.070183,p35p
0.004742,0.097210,p35p
0.007047,0.094464,p35p
0.009326,0.092493,p35p
0.005043,0.064201,p35p
0.009623,0.021472,p35p
0.005380,0.010588,p35p
0.005522,0.060463,p35p
0.003716,0.028975,p35p
0.005396,0.049060,p35p
0.004542,0.088662,p35p
0.006391,0.121462,p35p
0.005846,0.115897,p35p
0.005863,0.090155,p35p
0.005850,0.081954,p35p
0.005908,0.074009,p35p
0.005260,0.064125,p35p
0.004880,0.061114,p35p
0.007038,0.094005,p35p
0.008499,0.096652,p35p
0.004110,0.041116,p35p
0.158408,1.000601,p35p
0.003265,0.032117,p35p
0.003384,0.017537,p35p
0.009407,0.021067,p4p
0.561458,1.437418,p4p
0.550164,1.461291,p4p
0.004331,0.011932,p4p
0.842091,0.054272,p4p
0.850504,0.019246,p4p
0.005037,0.048370,p4p
0.006043,0.071017,p4p
0.006931,0.101721,p4p
0.018234,0.277567,p4p
0.008055,0.033821,p4p
0.010210,0.013454,p4p
0.007711,0.012851,p4p
0.006514,0.053392,p4p
0.004785,0.025765,p4p
0.006062,0.035927,p4p
0.006716,0.065294,p4p
0.006809,0.102731,p4p
0.007207,0.091278,p4p
0.006523,0.065275,p4p
0.006521,0.058750,p4p
0.006532,0.052186,p4p
0.005783,0.044438,p4p
0.005638,0.042690,p4p
0.007333,0.077789,p4p
0.008976,0.081978,p4p
0.004798,0.025123,p4p
0.157694,0.989706,p4p
0.004050,0.018999,p4p
0.004266,0.016325,p4p
0.007183,0.047033,real
0.560075,1.432786,real
0.551993,1.477274,real
0.016067,0.171112,real
0.841893,0.080720,real
0.849964,0.029935,real
0.004475,0.065563,real
0.004202,0.091808,real
0.015435,0.128790,real
0.011899,0.170595,real
0.005629,0.061339,real
0.008047,0.041477,real
0.004698,0.031588,real
0.004369,0.065877,real
0.003312,0.040403,real
0.004879,0.062358,real
0.005583,0.092194,real
0.005591,0.110644,real
0.005329,0.104016,real
0.005120,0.084989,real
0.005020,0.078214,real
0.005190,0.071157,real
0.004826,0.064445,real
0.004567,0.055557,real
0.006676,0.085086,real
0.007946,0.086139,real
0.004132,0.041676,real
0.159869,0.974574,real
0.014231,0.565057,real
0.003348,0.034491,real
