f,algo
0.005088,p35p
0.001864,p35p
0.001853,p35p
0.001233,p35p
0.001085,p35p
0.001474,p35p
0.000699,p35p
0.001177,p35p
0.034278,p35p
0.011086,p35p
0.008711,p35p
0.003707,p35p
0.001361,p35p
0.000564,p35p
0.001384,p35p
0.001573,p35p
0.003366,p35p
0.003544,p35p
0.003465,p35p
0.001767,p35p
0.001041,p35p
0.000952,p35p
0.000852,p35p
0.001984,p35p
0.003866,p35p
0.004393,p35p
0.001779,p35p
0.432537,p35p
0.001001,p35p
0.001494,p35p
0.005006,p4p
0.001358,p4p
0.001806,p4p
0.000836,p4p
0.001622,p4p
0.001421,p4p
0.000736,p4p
0.000924,p4p
0.004481,p4p
0.051002,p4p
0.002852,p4p
0.003729,p4p
0.001745,p4p
0.000633,p4p
0.002218,p4p
0.001513,p4p
0.003166,p4p
0.003380,p4p
0.003585,p4p
0.001334,p4p
0.001116,p4p
0.001028,p4p
0.000900,p4p
0.001910,p4p
0.003654,p4p
0.004119,p4p
0.001713,p4p
0.423377,p4p
0.001941,p4p
0.001600,p4p
0.004256,real
0.001886,real
0.002730,real
0.048677,real
0.003648,real
0.002265,real
0.001564,real
0.000680,real
0.008526,real
0.019936,real
0.004085,real
0.004122,real
0.002649,real
0.001406,real
0.001809,real
0.002375,real
0.003346,real
0.002978,real
0.002944,real
0.003471,real
0.002978,real
0.002130,real
0.002780,real
0.001390,real
0.003287,real
0.003856,real
0.001108,real
0.418664,real
0.272816,real
0.000845,real
