R,t,algo
0.502765,0.029139,p35p
32.127643,1.439399,p35p
31.559889,1.467495,p35p
0.203606,0.017930,p35p
48.275495,0.071779,p35p
48.689848,0.020076,p35p
0.248641,0.070183,p35p
0.271678,0.097209,p35p
0.403755,0.094464,p35p
0.534351,0.092493,p35p
0.288931,0.064201,p35p
0.551361,0.021472,p35p
0.308255,0.010588,p35p
0.316385,0.060462,p35p
0.212898,0.028975,p35p
0.309193,0.049060,p35p
0.260242,0.088662,p35p
0.366152,0.121462,p35p
0.334965,0.115901,p35p
0.335938,0.090154,p35p
0.335176,0.081954,p35p
0.338476,0.074009,p35p
0.301377,0.064125,p35p
0.279629,0.061113,p35p
0.403256,0.094004,p35p
0.486980,0.096652,p35p
0.235463,0.041116,p35p
9.076096,1.000601,p35p
0.187066,0.032117,p35p
0.193902,0.017537,p35p
0.535921,0.024454,p4p
32.178612,1.435277,p4p
31.517823,1.465737,p4p
0.261679,0.011915,p4p
48.241230,0.054695,p4p
48.743157,0.020151,p4p
0.299635,0.050790,p4p
0.349436,0.074349,p4p
0.763872,0.095705,p4p
1.896311,0.275667,p4p
0.478731,0.033923,p4p
0.583924,0.016471,p4p
0.386892,0.013139,p4p
0.383165,0.060722,p4p
0.287339,0.028452,p4p
0.358604,0.037284,p4p
0.694402,0.060457,p4p
0.415069,0.103787,p4p
0.420567,0.095970,p4p
0.383016,0.068333,p4p
0.382216,0.061250,p4p
0.382354,0.054227,p4p
0.338912,0.045882,p4p
0.339345,0.044140,p4p
0.456545,0.078019,p4p
0.542766,0.082773,p4p
0.292184,0.025621,p4p
9.009369,0.978169,p4p
0.244868,0.020530,p4p
0.250733,0.018801,p4p
0.411576,0.047033,real
32.089944,1.432786,real
31.626861,1.477274,real
0.920558,0.171112,real
48.236939,0.080720,real
48.699335,0.029935,real
0.256421,0.065563,real
0.240770,0.091808,real
0.884369,0.128790,real
0.681770,0.170595,real
0.322492,0.061339,real
0.461069,0.041477,real
0.269201,0.031588,real
0.250349,0.065877,real
0.189761,0.040403,real
0.279531,0.062358,real
0.319859,0.092194,real
0.320369,0.110644,real
0.305323,0.104016,real
0.293344,0.084989,real
0.287601,0.078214,real
0.297337,0.071157,real
0.276502,0.064445,real
0.261643,0.055557,real
0.382481,0.085086,real
0.455296,0.086139,real
0.236761,0.041676,real
9.159795,0.974574,real
0.815379,0.565057,real
0.191837,0.034491,real
