f,algo
0.005088,p35p
0.001864,p35p
0.001853,p35p
0.001233,p35p
0.001085,p35p
0.001474,p35p
0.000699,p35p
0.001177,p35p
0.034278,p35p
0.011086,p35p
0.008711,p35p
0.003707,p35p
0.001361,p35p
0.000564,p35p
0.001384,p35p
0.001573,p35p
0.003366,p35p
0.003544,p35p
0.003465,p35p
0.001767,p35p
0.001041,p35p
0.000952,p35p
0.000852,p35p
0.001984,p35p
0.003866,p35p
0.004393,p35p
0.001779,p35p
0.432537,p35p
0.001001,p35p
0.001494,p35p
0.004687,p4p
0.001141,p4p
0.001937,p4p
0.001020,p4p
0.001422,p4p
0.001367,p4p
0.000853,p4p
0.000874,p4p
0.003897,p4p
0.022585,p4p
0.002944,p4p
0.003685,p4p
0.002059,p4p
0.000644,p4p
0.002476,p4p
0.001592,p4p
0.015379,p4p
0.003378,p4p
0.003478,p4p
0.001515,p4p
0.001193,p4p
0.001103,p4p
0.000978,p4p
0.001837,p4p
0.003680,p4p
0.004208,p4p
0.001652,p4p
0.417187,p4p
0.001840,p4p
0.001553,p4p
0.004256,real
0.001886,real
0.002730,real
0.048677,real
0.003648,real
0.002265,real
0.001564,real
0.000680,real
0.008526,real
0.019936,real
0.004085,real
0.004122,real
0.002649,real
0.001406,real
0.001809,real
0.002375,real
0.003346,real
0.002978,real
0.002944,real
0.003471,real
0.002978,real
0.002130,real
0.002780,real
0.001390,real
0.003287,real
0.003856,real
0.001108,real
0.418664,real
0.272816,real
0.000845,real
