R,t,algo
0.003797,0.051498,p35p
0.260580,2.738904,p35p
0.256723,2.785257,p35p
0.001384,0.030676,p35p
0.385697,0.128761,p35p
0.388320,0.034366,p35p
0.001606,0.113183,p35p
0.002025,0.159471,p35p
0.006923,0.203748,p35p
0.009142,0.190028,p35p
0.002985,0.090946,p35p
0.004178,0.037986,p35p
0.002408,0.017313,p35p
0.002288,0.097301,p35p
0.001446,0.050456,p35p
0.002212,0.085108,p35p
0.002547,0.152089,p35p
0.002702,0.209193,p35p
0.002512,0.197088,p35p
0.002470,0.148578,p35p
0.002438,0.135691,p35p
0.002356,0.122796,p35p
0.002073,0.106066,p35p
0.001999,0.100461,p35p
0.002927,0.162623,p35p
0.003655,0.168643,p35p
0.001457,0.065971,p35p
0.075050,1.916493,p35p
0.001134,0.052789,p35p
0.001162,0.030174,p35p
0.003922,0.040832,p4p
0.260896,2.767050,p4p
0.256503,2.799303,p4p
0.001743,0.024847,p4p
0.385309,0.124131,p4p
0.388564,0.030246,p4p
0.001870,0.106574,p4p
0.002404,0.151140,p4p
0.007148,0.190233,p4p
0.004649,0.373512,p4p
0.003295,0.076556,p4p
0.004324,0.029085,p4p
0.002904,0.014775,p4p
0.002589,0.094562,p4p
0.001855,0.052818,p4p
0.002408,0.076069,p4p
0.002752,0.131921,p4p
0.002930,0.203837,p4p
0.002713,0.194431,p4p
0.002772,0.140227,p4p
0.002729,0.127298,p4p
0.002633,0.114432,p4p
0.002373,0.097700,p4p
0.002281,0.095107,p4p
0.003157,0.157880,p4p
0.003866,0.165587,p4p
0.001718,0.059368,p4p
0.073910,1.877670,p4p
0.001492,0.039723,p4p
0.001618,0.023423,p4p
0.002773,0.092767,real
0.259998,2.737338,real
0.257505,2.800104,real
0.007461,0.354992,real
0.385914,0.166554,real
0.388211,0.059742,real
0.001464,0.138204,real
0.001627,0.191112,real
0.006239,0.235676,real
0.021609,0.382816,real
0.001879,0.138105,real
0.003089,0.084036,real
0.001545,0.059011,real
0.001445,0.116099,real
0.001183,0.065670,real
0.001644,0.127823,real
0.003358,0.179819,real
0.002372,0.224291,real
0.002090,0.210692,real
0.001892,0.173659,real
0.001783,0.160685,real
0.001702,0.147305,real
0.001512,0.134826,real
0.001647,0.119946,real
0.002590,0.175363,real
0.003306,0.175782,real
0.001329,0.093982,real
0.081300,1.940594,real
0.006732,1.153002,real
0.001050,0.066545,real
