f,algo
0.005091,p35p
0.001881,p35p
0.001976,p35p
0.001233,p35p
0.000585,p35p
0.001393,p35p
0.000727,p35p
0.001092,p35p
0.007998,p35p
0.029971,p35p
0.003132,p35p
0.003786,p35p
0.001742,p35p
0.000551,p35p
0.001371,p35p
0.001667,p35p
0.005302,p35p
0.003479,p35p
0.003443,p35p
0.002037,p35p
0.001164,p35p
0.001034,p35p
0.000947,p35p
0.001900,p35p
0.003789,p35p
0.004330,p35p
0.001698,p35p
0.434345,p35p
0.001151,p35p
0.001586,p35p
0.004695,p4p
0.001358,p4p
0.001987,p4p
0.000732,p4p
0.000554,p4p
0.001317,p4p
0.000657,p4p
0.000947,p4p
0.007969,p4p
0.038494,p4p
0.003180,p4p
0.003792,p4p
0.001912,p4p
0.000578,p4p
0.001416,p4p
0.001691,p4p
0.003523,p4p
0.003372,p4p
0.003337,p4p
0.001847,p4p
0.001230,p4p
0.001123,p4p
0.001031,p4p
0.001837,p4p
0.003688,p4p
0.004229,p4p
0.001664,p4p
0.420964,p4p
0.001938,p4p
0.001463,p4p
0.003015,real
0.002520,real
0.001784,real
0.001339,real
0.000287,real
0.001479,real
0.000803,real
0.001098,real
0.015825,real
0.003544,real
0.003831,real
0.010051,real
0.001594,real
0.001773,real
0.002869,real
0.001356,real
0.003196,real
0.003589,real
0.003645,real
0.001912,real
0.000963,real
0.000887,real
0.000764,real
0.001994,real
0.003885,real
0.004900,real
0.001846,real
0.002416,real
0.001129,real
0.001796,real
