R,t,algo
0.456744,0.027052,p35p
32.089301,1.438731,p35p
31.601948,1.463080,p35p
0.157266,0.016114,p35p
48.295728,0.067637,p35p
48.645345,0.018052,p35p
0.208082,0.059454,p35p
0.235456,0.083769,p35p
0.848397,0.107028,p35p
1.116207,0.099821,p35p
0.352181,0.047774,p35p
0.513757,0.019954,p35p
0.294662,0.009094,p35p
0.288002,0.051112,p35p
0.169790,0.026505,p35p
0.272641,0.044707,p35p
0.317146,0.079892,p35p
0.321788,0.109888,p35p
0.294877,0.103529,p35p
0.290702,0.078047,p35p
0.291155,0.071278,p35p
0.296168,0.064504,p35p
0.260517,0.055716,p35p
0.240785,0.052772,p35p
0.362326,0.085425,p35p
0.442529,0.088587,p35p
0.198510,0.034654,p35p
9.131486,1.006723,p35p
0.142419,0.027730,p35p
0.148192,0.015850,p35p
0.479654,0.021275,p4p
32.129295,1.441690,p4p
31.574210,1.458494,p4p
0.203156,0.012946,p4p
48.244108,0.064675,p4p
48.677899,0.015759,p4p
0.238905,0.055527,p4p
0.279612,0.078747,p4p
0.875494,0.099115,p4p
0.564652,0.194607,p4p
0.397978,0.039887,p4p
0.527282,0.015154,p4p
0.348303,0.007698,p4p
0.324055,0.049269,p4p
0.221083,0.027519,p4p
0.294375,0.039633,p4p
0.330260,0.068733,p4p
0.328886,0.106203,p4p
0.315597,0.101303,p4p
0.328388,0.073061,p4p
0.326827,0.066325,p4p
0.328701,0.059622,p4p
0.295732,0.050904,p4p
0.269335,0.049553,p4p
0.385607,0.082259,p4p
0.471128,0.086274,p4p
0.221127,0.030932,p4p
8.992491,0.978304,p4p
0.185153,0.020697,p4p
0.201631,0.012204,p4p
0.172938,0.040133,real
31.825003,1.407801,real
31.879702,1.493264,real
0.093840,0.028112,real
48.517698,0.036556,real
48.378992,0.034865,real
0.118378,0.029390,real
0.036702,0.051414,real
0.364637,0.057178,real
0.119052,0.048223,real
0.107120,0.030409,real
0.946163,0.037329,real
0.104220,0.036265,real
0.093211,0.092710,real
0.096621,0.053340,real
0.054352,0.037632,real
0.169181,0.053654,real
0.050867,0.081184,real
0.053529,0.087963,real
0.034347,0.039474,real
0.014706,0.033286,real
0.090646,0.027279,real
0.088404,0.018183,real
0.012620,0.028312,real
0.138433,0.059553,real
0.217913,0.068918,real
0.128326,0.006457,real
0.147178,0.014218,real
0.143123,0.027249,real
0.158524,0.038020,real
