R,t,algo
1.918520,0.969544,p35p
29.821813,1.338529,p35p
23.803710,0.809525,p35p
17.287659,0.695831,p35p
1.209424,1.118582,p35p
1.867588,1.178545,p35p
1.918520,1.101738,p35p
2.373868,1.025317,p35p
1.606469,1.101565,p35p
2.007674,1.033921,p35p
2.012257,1.046990,p35p
1.877880,1.125708,p35p
1.977212,0.940365,p35p
1.980725,0.797619,p35p
1.986719,0.764832,p35p
2.015015,0.773940,p35p
2.063265,0.981223,p35p
2.077326,0.945270,p35p
1.997471,0.533020,p35p
1.427650,0.091290,p4p
30.157206,0.251361,p4p
24.117966,0.110458,p4p
17.605498,0.089091,p4p
2.485165,0.063214,p4p
1.360087,0.112610,p4p
1.412238,0.107761,p4p
1.708297,0.111633,p4p
7.572074,0.644757,p4p
1.441648,0.094021,p4p
1.392223,0.095115,p4p
1.364792,0.104671,p4p
1.529887,0.080031,p4p
1.459670,0.066295,p4p
1.481044,0.065768,p4p
1.511508,0.070407,p4p
1.567935,0.082605,p4p
1.578810,0.078519,p4p
1.532914,0.038326,p4p
0.061887,0.015689,real
76.484090,0.496027,real
31.570491,0.243911,real
25.538358,0.229878,real
19.027229,0.184582,real
0.286022,0.040526,real
0.165030,0.019485,real
0.110065,0.008631,real
0.353313,0.021297,real
0.437993,0.026926,real
0.079102,0.009340,real
0.180315,0.010450,real
0.103596,0.020863,real
0.043946,0.024247,real
0.012429,0.004368,real
0.064798,0.011742,real
0.059066,0.020963,real
0.115047,0.042994,real
0.128095,0.049492,real
0.109150,0.025906,real
