R,t,algo
0.033484,0.969544,p35p
0.520489,1.338529,p35p
0.415453,0.809525,p35p
0.301727,0.695831,p35p
0.021108,1.118582,p35p
0.032596,1.178545,p35p
0.033484,1.101738,p35p
0.041432,1.025317,p35p
0.028038,1.101565,p35p
0.035041,1.033921,p35p
0.035121,1.046990,p35p
0.032775,1.125708,p35p
0.034509,0.940365,p35p
0.034570,0.797619,p35p
0.034675,0.764832,p35p
0.035169,0.773940,p35p
0.036011,0.981223,p35p
0.036256,0.945270,p35p
0.034862,0.533020,p35p
0.024917,0.091290,p4p
0.526343,0.251361,p4p
0.420938,0.110458,p4p
0.307274,0.089091,p4p
0.043374,0.063214,p4p
0.023738,0.112610,p4p
0.024648,0.107761,p4p
0.029815,0.111633,p4p
0.132158,0.644757,p4p
0.025162,0.094021,p4p
0.024299,0.095115,p4p
0.023820,0.104671,p4p
0.026702,0.080031,p4p
0.025476,0.066295,p4p
0.025849,0.065768,p4p
0.026381,0.070407,p4p
0.027366,0.082605,p4p
0.027555,0.078519,p4p
0.026754,0.038326,p4p
0.001080,0.015689,real
1.334899,0.496027,real
0.551009,0.243911,real
0.445728,0.229878,real
0.332088,0.184582,real
0.004992,0.040526,real
0.002880,0.019485,real
0.001921,0.008631,real
0.006166,0.021297,real
0.007644,0.026926,real
0.001381,0.009340,real
0.003147,0.010450,real
0.001808,0.020863,real
0.000767,0.024247,real
0.000217,0.004368,real
0.001131,0.011742,real
0.001031,0.020963,real
0.002008,0.042994,real
0.002236,0.049492,real
0.001905,0.025906,real
