f,algo
0.001858,p35p
0.001528,p35p
0.005364,p35p
0.000374,p35p
0.019643,p35p
0.002946,p35p
0.001871,p35p
0.016598,p35p
0.017311,p35p
0.002147,p35p
0.006020,p35p
0.002937,p35p
0.002326,p35p
0.001853,p35p
0.001619,p35p
0.002059,p35p
0.003477,p35p
0.005269,p35p
0.002262,p35p
0.001670,p4p
0.001245,p4p
0.004914,p4p
0.000483,p4p
0.080746,p4p
0.003142,p4p
0.002117,p4p
0.015147,p4p
0.620874,p4p
0.002168,p4p
0.005784,p4p
0.003142,p4p
0.002207,p4p
0.001819,p4p
0.001445,p4p
0.002152,p4p
0.003289,p4p
0.004951,p4p
0.002125,p4p
0.001843,real
0.023208,real
0.001768,real
0.004977,real
0.000397,real
0.004424,real
0.002668,real
0.002047,real
0.010428,real
0.005176,real
0.001989,real
0.005978,real
0.002968,real
0.002384,real
0.001853,real
0.001589,real
0.002283,real
0.003142,real
0.005035,real
0.002272,real
