f,algo
0.001885,p35p
0.024464,p35p
0.001159,p35p
0.004546,p35p
0.000708,p35p
0.108057,p35p
0.003292,p35p
0.002032,p35p
0.013678,p35p
0.002334,p35p
0.002259,p35p
0.005262,p35p
0.003196,p35p
0.002595,p35p
0.001996,p35p
0.001743,p35p
0.002076,p35p
0.002924,p35p
0.005106,p35p
0.002317,p35p
0.001840,p4p
0.020535,p4p
0.001408,p4p
0.004354,p4p
0.000390,p4p
0.005540,p4p
0.002754,p4p
0.002011,p4p
0.012871,p4p
0.006651,p4p
0.004414,p4p
0.002038,p4p
0.005649,p4p
0.002907,p4p
0.002325,p4p
0.001907,p4p
0.001592,p4p
0.002136,p4p
0.002665,p4p
0.004063,p4p
0.002326,p4p
0.001843,real
0.023208,real
0.001768,real
0.004977,real
0.000397,real
0.004424,real
0.002668,real
0.002047,real
0.010428,real
0.005176,real
0.001989,real
0.005978,real
0.002968,real
0.002384,real
0.001853,real
0.001589,real
0.002283,real
0.003142,real
0.005035,real
0.002272,real
