R,t,algo
0.000831,0.200587,p35p
0.584710,3.574142,p35p
0.255389,1.814794,p35p
0.207222,1.739250,p35p
0.154631,1.386462,p35p
0.025089,0.672849,p35p
0.000406,0.226659,p35p
0.000573,0.144581,p35p
0.004295,0.173922,p35p
0.001683,0.273973,p35p
0.001095,0.119909,p35p
0.001637,0.095333,p35p
0.000247,0.240906,p35p
0.000964,0.169239,p35p
0.000932,0.058022,p35p
0.001120,0.148227,p35p
0.001321,0.245610,p35p
0.001379,0.336638,p35p
0.001569,0.403217,p35p
0.001351,0.269098,p35p
0.000729,0.149623,p4p
0.583870,4.552637,p4p
0.256419,2.248439,p4p
0.208229,2.113935,p4p
0.155648,1.701841,p4p
0.004031,0.281560,p4p
0.001052,0.183191,p4p
0.000745,0.102260,p4p
0.003263,0.219303,p4p
0.003472,0.172980,p4p
0.002326,0.142738,p4p
0.000597,0.086376,p4p
0.001484,0.098303,p4p
0.000964,0.194593,p4p
0.000339,0.223517,p4p
0.000146,0.044251,p4p
0.000257,0.111911,p4p
0.000227,0.200551,p4p
0.000907,0.393929,p4p
0.001149,0.456330,p4p
0.000517,0.244081,p4p
0.612568,1199.922123,real
0.171814,786.797817,real
0.120274,684.168903,real
0.044842,1224.177133,real
0.042903,1032.580100,real
0.047569,758.322226,real
0.044478,914.681462,real
0.043411,743.540485,real
0.259903,1095.891604,real
0.046463,1395.012174,real
0.043822,441.426450,real
0.043859,692.150046,real
