R,t,algo
0.065576,0.027674,p35p
76.658242,0.493101,p35p
31.433424,0.250375,p35p
25.393614,0.239953,p35p
18.879603,0.191281,p35p
3.051063,0.092828,p35p
0.109400,0.031271,p35p
0.095169,0.019947,p35p
0.531013,0.023995,p35p
0.220593,0.037798,p35p
0.089635,0.016543,p35p
0.194904,0.013152,p35p
0.045041,0.033236,p35p
0.089547,0.023349,p35p
0.112342,0.008005,p35p
0.113581,0.020450,p35p
0.168003,0.033885,p35p
0.171172,0.046444,p35p
0.168273,0.055629,p35p
0.187213,0.037126,p35p
0.051119,0.036913,p4p
76.528234,1.123183,p4p
31.563562,0.554713,p4p
25.519210,0.521530,p4p
19.004856,0.419862,p4p
0.490739,0.069464,p4p
0.160841,0.045195,p4p
0.113088,0.025229,p4p
0.412529,0.054104,p4p
0.429793,0.042676,p4p
0.302187,0.035215,p4p
0.072654,0.021310,p4p
0.187438,0.024252,p4p
0.110692,0.048008,p4p
0.058955,0.055144,p4p
0.004983,0.010917,p4p
0.069023,0.027610,p4p
0.055772,0.049478,p4p
0.132699,0.097186,p4p
0.116156,0.112581,p4p
0.107490,0.060217,p4p
46.086471,0.823493,real
81.041897,0.783135,real
27.866271,0.629624,real
21.000137,0.513507,real
14.658395,0.446526,real
5.453237,0.798965,real
5.216761,0.673918,real
5.785264,0.494923,real
5.406992,0.596971,real
5.278049,0.485275,real
45.919852,7.252912,real
32.003631,0.715239,real
5.649712,0.910461,real
5.328357,0.288099,real
5.331679,0.451735,real
