R,t,algo
2.302765,31.266168,p35p
2.264382,31.054022,p35p
56.242620,30.476184,p35p
2.275941,31.305887,p35p
2.145006,30.399610,p35p
2.093907,29.684050,p35p
2.150801,30.110751,p35p
2.270593,31.200978,p35p
2.207224,30.904557,p35p
2.118245,30.670709,p35p
2.303248,31.828775,p4p
2.265442,31.613344,p4p
56.239044,31.030214,p4p
2.266629,31.869949,p4p
2.139795,30.948142,p4p
2.091701,30.220383,p4p
2.153863,30.654701,p4p
2.273612,31.762314,p4p
2.211853,31.461451,p4p
2.120270,31.223991,p4p
1.449893,0.045796,real
1.431837,0.040569,real
45.462517,0.292855,real
56.636245,0.115860,real
1.539304,0.039619,real
1.344858,0.030133,real
1.349201,0.027808,real
1.411034,0.046691,real
1.386058,0.037703,real
1.305283,0.034020,real
