R,t,algo
0.040191,31.266168,p35p
0.039521,31.054022,p35p
0.981619,30.476184,p35p
0.039723,31.305887,p35p
0.037437,30.399610,p35p
0.036546,29.684050,p35p
0.037539,30.110751,p35p
0.039629,31.200978,p35p
0.038523,30.904557,p35p
0.036970,30.670709,p35p
0.040199,31.828775,p4p
0.039539,31.613344,p4p
0.981556,31.030214,p4p
0.039560,31.869949,p4p
0.037346,30.948142,p4p
0.036507,30.220383,p4p
0.037592,30.654701,p4p
0.039682,31.762314,p4p
0.038604,31.461451,p4p
0.037006,31.223991,p4p
0.025305,0.045796,real
0.024990,0.040569,real
0.793471,0.292855,real
0.988489,0.115860,real
0.026866,0.039619,real
0.023472,0.030133,real
0.023548,0.027808,real
0.024627,0.046691,real
0.024191,0.037703,real
0.022781,0.034020,real
