R,t,algo
0.023533,0.087859,p35p
0.023086,0.078474,p35p
0.791349,0.605190,p35p
0.990544,0.241432,p35p
0.023517,0.079152,p35p
0.021561,0.058665,p35p
0.020984,0.038777,p35p
0.021193,0.058680,p35p
0.022915,0.089416,p35p
0.022206,0.073261,p35p
0.020690,0.069526,p35p
0.023534,0.087860,p4p
0.023086,0.078475,p4p
0.791348,0.605188,p4p
0.990544,0.241432,p4p
0.023518,0.079151,p4p
0.021526,0.058665,p4p
0.021046,0.038774,p4p
0.021196,0.058680,p4p
0.022917,0.089416,p4p
0.022206,0.073262,p4p
0.020689,0.069526,p4p
0.025305,0.045796,real
0.024991,0.040569,real
0.793470,0.292854,real
0.988489,0.115860,real
0.026867,0.039619,real
0.023467,0.030134,real
0.023537,0.027808,real
0.024630,0.046691,real
0.024192,0.037702,real
0.022782,0.034020,real
