R,t,algo
1.348340,0.087859,p35p
1.322705,0.078474,p35p
45.340934,0.605190,p35p
56.753984,0.241432,p35p
1.347444,0.079152,p35p
1.235339,0.058665,p35p
1.202299,0.038777,p35p
1.214297,0.058680,p35p
1.312909,0.089416,p35p
1.272288,0.073261,p35p
1.185469,0.069526,p35p
1.348381,0.087860,p4p
1.322704,0.078475,p4p
45.340925,0.605188,p4p
56.753998,0.241432,p4p
1.347464,0.079151,p4p
1.233353,0.058665,p4p
1.205854,0.038774,p4p
1.214447,0.058680,p4p
1.313060,0.089416,p4p
1.272286,0.073262,p4p
1.185365,0.069526,p4p
1.449885,0.045796,real
1.431859,0.040569,real
45.462487,0.292854,real
56.636270,0.115860,real
1.539388,0.039619,real
1.344574,0.030134,real
1.348589,0.027808,real
1.411207,0.046691,real
1.386086,0.037702,real
1.305309,0.034020,real
