R,t,algo
0.001101,0.005884,p35p
0.001803,0.008109,p35p
0.001260,0.009070,p35p
0.301470,0.397074,p35p
0.300179,0.375638,p35p
0.001255,0.011291,p35p
0.000867,0.006090,p35p
0.001561,0.005148,p35p
0.001569,0.004760,p35p
0.001260,0.006120,p35p
0.002040,0.006695,p35p
0.001234,0.007490,p35p
0.000386,0.008589,p35p
0.001731,0.008606,p35p
0.001582,0.013394,p35p
0.002687,0.004008,p35p
0.002133,0.004350,p35p
0.001803,0.005648,p35p
0.001974,0.007721,p35p
0.001710,0.008281,p35p
0.002647,0.007244,p35p
0.001248,0.007211,p35p
0.003469,0.007464,p35p
0.002244,0.006597,p35p
0.001835,0.008643,p35p
0.001808,0.016450,p35p
0.000389,0.010257,p35p
0.002489,0.007185,p35p
0.001799,0.012002,p35p
0.001888,0.012861,p35p
0.001833,0.015027,p35p
0.001333,0.015293,p35p
0.002482,0.013763,p35p
0.001723,0.009275,p35p
0.001910,0.010390,p35p
0.129574,3.040448,p4p
0.154936,2.309394,p4p
0.189141,3.710061,p4p
0.235815,4.914695,p4p
0.196165,3.922381,p4p
0.461961,38.223897,real
0.181641,26.819460,real
0.209855,30.637379,real
0.193029,33.991372,real
0.182769,35.398323,real
0.175637,34.035577,real
0.102754,33.591578,real
0.102188,39.495676,real
0.603014,38.597981,real
0.365164,38.523414,real
0.272342,36.460631,real
0.875306,54.817822,real
0.145524,26.107138,real
