R,t,algo
0.063055,0.005884,p35p
0.103285,0.008109,p35p
0.072214,0.009070,p35p
17.272932,0.397074,p35p
17.198966,0.375638,p35p
0.071903,0.011291,p35p
0.049670,0.006090,p35p
0.089446,0.005148,p35p
0.089875,0.004760,p35p
0.072177,0.006120,p35p
0.116860,0.006695,p35p
0.070723,0.007490,p35p
0.022098,0.008589,p35p
0.099161,0.008606,p35p
0.090640,0.013394,p35p
0.153972,0.004008,p35p
0.122236,0.004350,p35p
0.103310,0.005648,p35p
0.113080,0.007721,p35p
0.097980,0.008281,p35p
0.151662,0.007244,p35p
0.071501,0.007211,p35p
0.198759,0.007464,p35p
0.128598,0.006597,p35p
0.105156,0.008643,p35p
0.103567,0.016450,p35p
0.022278,0.010257,p35p
0.142628,0.007185,p35p
0.103073,0.012002,p35p
0.108160,0.012861,p35p
0.105014,0.015027,p35p
0.076363,0.015293,p35p
0.142230,0.013763,p35p
0.098698,0.009275,p35p
0.109451,0.010390,p35p
30.178351,24.542873,p4p
29.823881,4.552505,p4p
15.906098,3.809507,p4p
7.424066,3.040448,p4p
8.877198,2.309394,p4p
10.836997,3.710061,p4p
15.874684,2.360756,p4p
28.693336,1.316386,p4p
13.511198,4.914695,p4p
11.239399,3.922381,p4p
26.468398,38.223897,real
10.407255,26.819460,real
12.023802,30.637379,real
11.059757,33.991372,real
10.471908,35.398323,real
10.063270,34.035577,real
5.887342,33.591578,real
5.854914,39.495676,real
34.550173,38.597981,real
20.922379,38.523414,real
17.857879,418.498300,real
15.604025,36.460631,real
50.151350,54.817822,real
8.337896,26.107138,real
