f,algo
0.002727,p35p
0.002207,p35p
0.002201,p35p
0.002268,p35p
0.002173,p35p
0.003135,p35p
0.002682,p35p
0.002354,p35p
0.002762,p35p
0.002445,p35p
0.002366,p35p
0.002334,p35p
0.002247,p35p
0.002387,p35p
0.003819,p35p
0.003571,p35p
0.003446,p35p
0.003148,p35p
0.002886,p35p
0.002720,p35p
0.002548,p35p
0.002799,p35p
0.003172,p35p
0.003480,p35p
0.002453,p35p
0.002466,p35p
0.002262,p35p
0.003083,p35p
0.002645,p35p
0.002737,p35p
0.002240,p35p
0.002170,p35p
0.002330,p35p
0.002808,p35p
0.002814,p35p
62400.016161,p4p
2.518295,p4p
1.253745,p4p
0.298378,p4p
0.196091,p4p
0.458411,p4p
28.578470,p4p
33.744108,p4p
0.453163,p4p
0.636910,p4p
0.962867,real
0.100197,real
0.107652,real
0.089232,real
0.092964,real
0.102687,real
0.264512,real
0.182099,real
0.999999,real
0.993081,real
8.649987,real
0.231645,real
0.999942,real
0.115762,real
