f,algo
0.186355,p35p
0.295541,p35p
0.096692,p35p
0.091321,p35p
0.104318,p35p
0.071037,p35p
0.360295,p35p
0.490753,p35p
0.137165,p35p
1.152941,p35p
0.134161,p35p
153.400059,p35p
8.910692,p35p
0.515382,p35p
0.090142,p35p
0.089900,p35p
18.934767,p35p
0.747251,p35p
0.184112,p4p
0.050439,p4p
0.155271,p4p
0.039299,p4p
0.009456,p4p
0.010207,p4p
0.024715,p4p
0.006780,p4p
0.098551,p4p
0.012320,p4p
0.062118,p4p
0.137037,p4p
0.962867,real
0.100197,real
0.107652,real
0.089232,real
0.092964,real
0.102687,real
0.264512,real
0.182099,real
0.999999,real
0.993081,real
8.649987,real
0.231645,real
0.999942,real
0.115762,real
