R,t,algo
3.725281,3.380340,p35p
11.508225,3.406113,p35p
15.072911,3.119200,p35p
0.451250,3.064092,p35p
1.024229,3.161265,p35p
0.959551,3.410264,p35p
1.660736,3.726009,p35p
5.972176,4.196977,p35p
8.303978,4.414785,p35p
26.297255,3.436756,p35p
2.686436,3.268166,p35p
21.441809,46.132798,p35p
17.215194,3.592345,p35p
14.682262,5.137865,p35p
4.619281,4.711898,p35p
7.563115,3.778912,p35p
29.645153,37.545457,p35p
16.571104,7.695859,p35p
4.128889,8.066437,p4p
0.867437,5.669430,p4p
3.065724,51.828614,p4p
1.082788,20.821520,p4p
1.110294,32.090973,p4p
1.323123,42.866165,p4p
2.456619,6.988789,p4p
0.953132,6.006552,p4p
1.905721,14.918131,p4p
1.463330,2.062026,p4p
2.396328,19.209802,p4p
1.271054,38.041211,p4p
87.502932,3.619649,real
50.857156,17.509160,real
37.481446,3.583748,real
27.345525,2.826971,real
22.350023,2.029505,real
20.369514,1.436668,real
71.857510,1.703819,real
59.502742,0.931943,real
68.884761,2.186221,real
42.304152,3.168015,real
