f,algo
0.186355,p35p
0.295541,p35p
0.096692,p35p
0.091321,p35p
0.104318,p35p
0.071037,p35p
0.360295,p35p
0.490753,p35p
0.137165,p35p
1.152941,p35p
0.134161,p35p
153.400059,p35p
8.910692,p35p
0.515382,p35p
0.090142,p35p
0.089900,p35p
18.934767,p35p
0.747251,p35p
0.184112,p4p
0.050439,p4p
0.155271,p4p
0.039299,p4p
0.009456,p4p
0.010207,p4p
0.024715,p4p
0.006780,p4p
0.098551,p4p
0.012320,p4p
0.062118,p4p
0.137037,p4p
24.427717,real
65929.251211,real
5.019827,real
3.499495,real
2.923226,real
2.790256,real
3.466852,real
2.015985,real
4158.820082,real
1.083609,real
