f,algo
0.007118,p35p
0.005754,p35p
0.007125,p35p
0.007320,p35p
0.006239,p35p
0.006127,p35p
0.006895,p35p
0.006737,p35p
0.006773,p35p
0.006880,p35p
0.007156,p35p
0.007604,p35p
0.004387,p35p
0.004380,p35p
0.004006,p35p
0.005840,p35p
0.004989,p35p
0.005364,p35p
0.005949,p35p
0.006441,p35p
0.006939,p35p
0.006126,p35p
0.001717,p35p
0.002364,p35p
0.004418,p35p
0.006801,p35p
0.006057,p35p
0.005704,p35p
0.005301,p35p
0.004692,p35p
0.003886,p35p
0.007128,p4p
0.005752,p4p
0.007096,p4p
0.007252,p4p
0.006217,p4p
0.006114,p4p
0.006977,p4p
0.006746,p4p
0.006791,p4p
0.006914,p4p
0.007205,p4p
0.007658,p4p
0.004389,p4p
0.004368,p4p
0.004106,p4p
0.005678,p4p
0.004537,p4p
0.005244,p4p
0.005916,p4p
0.006508,p4p
0.007081,p4p
0.006145,p4p
0.001730,p4p
0.002298,p4p
0.004513,p4p
0.006967,p4p
0.006075,p4p
0.005663,p4p
0.005285,p4p
0.004674,p4p
0.003851,p4p
0.007200,real
0.005881,real
0.007141,real
0.007301,real
0.006299,real
0.006047,real
0.006883,real
0.006772,real
0.006822,real
0.007011,real
0.007285,real
0.007750,real
0.004370,real
0.004323,real
0.003857,real
0.005394,real
0.004633,real
0.005065,real
0.005783,real
0.006327,real
0.006858,real
0.005994,real
0.001677,real
0.002391,real
0.004520,real
0.006974,real
0.006168,real
0.005726,real
0.005357,real
0.004667,real
0.003838,real
